uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,archiveID,archiveLaboratoryName,archiveTopDepth,archiveBottomDepth,remarks,sampleMass
"a1493650-914c-4ac1-9021-8e6ddf4ea06e","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD2","2Cd2","2012-07-17","2012-07-17","1_HARVARD_PIT1_133-160_ARCHIVE_2CD2","NEON",133.0,160.0,,1201.9
"5c320fe3-b0b4-46fe-9885-2abcbe8f35f4","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_AP","Ap","2012-07-17","2012-07-17","1_HARVARD_PIT1_9-17_ARCHIVE_AP","NEON",9.0,17.0,,1200.1
"c53ae821-3967-49f8-ba2f-c85b9955fc82","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2BC","2BC","2012-07-17","2012-07-17","1_HARVARD_PIT1_82-96_ARCHIVE_2BC","NEON",82.0,96.0,,1201.3
"cc4a909a-8731-4b48-88b2-18ca5e4d00c5","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW1","Bw1","2012-07-17","2012-07-17","1_HARVARD_PIT1_32-53_ARCHIVE_BW1","NEON",32.0,53.0,,1200.0
"c5a0a855-e727-49a5-82b4-8870bd1ee08b","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW/E","Bw/E","2012-07-17","2012-07-17","1_HARVARD_PIT1_17-32_ARCHIVE_BW/E","NEON",17.0,32.0,,1200.0
"f20a7a20-74c7-48a3-a33d-6e5df5afc7b5","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_A","A","2012-07-17","2012-07-17","1_HARVARD_PIT1_4-9_ARCHIVE_A","NEON",4.0,9.0,,1200.3
"44e12b2a-42f2-466c-a155-6d5714574155","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW2","Bw2","2012-07-17","2012-07-17","1_HARVARD_PIT1_53-82_ARCHIVE_BW2","NEON",53.0,82.0,,1200.5
"452ec404-d73f-4a68-b169-95b94784ac68","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_OI","Oi","2012-07-17","2012-07-17","1_HARVARD_PIT1_0-4_ARCHIVE_OI","NEON",0.0,4.0,,665.6
"75b6223f-32a7-4cf8-b670-3c7fecb991a7","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2C","2C","2012-07-17","2012-07-17","1_HARVARD_PIT1_96-113_ARCHIVE_2C","NEON",96.0,113.0,,1200.8
"f2d5f047-83e3-48e7-9397-597017378aa5","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD1","2Cd1","2012-07-17","2012-07-17","1_HARVARD_PIT1_113-133_ARCHIVE_2CD1","NEON",113.0,133.0,,1200.3
