uid,domainID,siteID,pitNamedLocation,pitID,horizonID,biogeoID,horizonName,biogeoHorizonProportion,biogeoSampleType,setDate,collectDate,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,sandVeryCoarseContent,carbonTot,nitrogenTot,sulfurTot,estimatedOC,airDryOvenDry,alMjelm,caMjelm,feMjelm,kMjelm,mgMjelm,mnMjelm,naMjelm,pMjelm,siMjelm,srMjelm,tiMjelm,zrMjelm,phCacl2,phH2o,ec12pre,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,laboratoryName,labProjID,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,remarks
"75a13130-4a50-4f2c-84a9-e8f9d5016fec","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_A","1_HARVARD_PIT1_4-9_BIOGEO_A","A",1.0,"Regular","2012-07-17","2012-07-17",8,55,58.8,29.5,11.7,,,17.8,11.7,12.0,20.5,16.3,8.6,1.4,96.7,7.10,0.20,96.0,1.032,54355,8518,23199,13648,3853,585,12422,1540,264102,194,4717,64,3.8,4.6,0.15,,0,0.0,0.3,0.3,0.0,25.1,,0.6,2,,6.1,,0.9,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",4.0,9.0,6.5,
"8d52939c-fa37-463e-b7e5-c6327aea4b27","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW2","1_HARVARD_PIT1_53-82_BIOGEO_BW2","Bw2",1.0,"Regular","2012-07-17","2012-07-17",31,85,87.2,9.7,3.1,,,5.5,4.2,9.2,35.8,32.4,7.6,2.2,2.8,0.40,0.00,3.0,1.006,52253,10572,17850,13266,3831,647,16277,610,326445,220,3116,40,4.9,5.2,0.07,,,0.0,0.0,0.0,0.0,2.2,,,,,0.4,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",53.0,82.0,67.5,
"d7e4aef1-c408-46c7-979f-fc8c5b518a4d","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_OI","1_HARVARD_PIT1_0-4_BIOGEO_OI","Oi",1.0,"Regular","2012-07-17","2012-07-17",6,0,53.3,31.0,15.7,,,21.8,9.2,11.8,19.1,18.2,3.6,0.6,255.1,13.90,0.90,254.0,1.061,32588,5730,13558,7556,1909,295,7177,1492,183014,121,2564,54,3.5,4.6,0.74,,10,2.1,1.4,1.5,0.0,54.0,,5.0,9,,3.0,,3.2,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",0.0,4.0,2.0,
"86b51fa0-7f05-410a-8880-2dc30ca6d60d","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD2","1_HARVARD_PIT1_133-160_BIOGEO_2CD2","2Cd2",1.0,"Regular","2012-07-17","2012-07-17",113,93,95.4,2.5,2.1,,,2.2,0.3,2.3,8.3,24.5,39.2,21.1,0.7,0.20,0.00,1.0,1.002,55717,9252,27253,17672,3777,1694,16956,473,319657,189,2110,27,5.3,5.5,0.04,,,0.0,0.0,0.0,0.0,0.7,,,,,0.1,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",133.0,160.0,146.5,
"4a2c2f82-ecf0-4fb7-a1cd-61ef95ec2a58","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2BC","1_HARVARD_PIT1_82-96_BIOGEO_2BC","2BC",1.0,"Regular","2012-07-17","2012-07-17",26,56,94.2,4.2,1.6,,,1.8,2.4,9.3,38.9,36.1,7.6,2.3,1.1,0.60,0.00,1.0,1.003,43844,10402,14627,12763,3083,653,16282,634,331137,199,2395,30,5.0,5.3,0.06,,,0.0,0.0,0.0,0.0,0.9,,,,,0.2,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",82.0,96.0,89.0,
"f977408d-d1e7-43bc-bbc7-493dd407dd30","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_AP","1_HARVARD_PIT1_9-17_BIOGEO_AP","Ap",1.0,"Regular","2012-07-17","2012-07-17",21,24,60.1,28.7,11.2,,,17.5,11.2,11.8,20.8,18.3,7.1,2.1,59.6,3.90,0.10,59.0,1.029,56274,9272,24418,13694,4236,680,12998,1484,276426,221,4999,70,4.0,4.8,0.23,,0,0.0,0.2,0.2,0.1,19.0,,0.5,3,,4.6,,1.5,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",9.0,17.0,13.0,
"378d4f01-c81d-433a-9b2f-16c3a6248d5e","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW/E","1_HARVARD_PIT1_17-32_BIOGEO_BW/E","Bw/E",1.0,"Regular","2012-07-17","2012-07-17",32,123,63.9,26.2,9.9,,,15.3,10.9,10.2,22.1,20.2,8.7,2.7,32.9,2.00,0.10,33.0,1.026,59824,7967,23695,13050,2854,541,12611,883,290216,183,4632,72,4.5,4.9,0.05,,0,0.0,0.0,0.0,0.0,11.0,,0.0,0,,2.1,,0.2,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",17.0,32.0,24.5,
"b081495e-9a36-436b-8a5c-2a52f8efd54d","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW1","1_HARVARD_PIT1_32-53_BIOGEO_BW1","Bw1",1.0,"Regular","2012-07-17","2012-07-17",36,56,69.6,23.5,6.9,,,12.2,11.3,11.3,25.2,22.9,7.4,2.8,11.4,1.10,0.10,11.0,1.016,53647,8504,22128,14261,3448,612,14785,622,306649,188,4186,94,4.7,5.0,0.04,,,0.0,0.0,0.0,0.0,5.3,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",32.0,53.0,42.5,
"e0d3c013-be04-46eb-9296-a1ce0df0e7c1","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2C","1_HARVARD_PIT1_96-113_BIOGEO_2C","2C",1.0,"Regular","2012-07-17","2012-07-17",40,93,80.4,16.2,3.4,,,8.8,7.4,10.8,24.5,28.0,12.7,4.4,1.0,0.10,0.00,1.0,1.002,49080,10629,13457,14980,2933,631,16203,696,313282,207,2876,36,5.1,5.3,0.04,,,0.0,0.0,0.0,0.0,0.7,,,,,0.2,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",96.0,113.0,104.5,
"74c4523c-beec-4af3-bc1d-95965be58b47","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD1","1_HARVARD_PIT1_113-133_BIOGEO_2CD1","2Cd1",1.0,"Regular","2012-07-17","2012-07-17",53,69,75.2,20.6,4.2,,,11.2,9.4,12.7,21.3,24.5,13.0,3.7,1.6,0.50,0.00,2.0,1.004,53073,10807,18103,17336,4142,680,16230,899,295960,217,3815,49,5.0,5.3,0.03,,,0.0,0.0,0.0,0.0,1.3,,,,,0.3,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",113.0,133.0,123.0,
