uid,domainID,siteID,pitNamedLocation,pitID,horizonID,bulkDensID,horizonName,setDate,collectDate,laboratoryName,labProjID,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensHorizonProportion,bulkDensSampleType,bulkDensExclCoarseFrag,remarks
"a20c1c27-0ec7-44b7-824f-3714580b1057","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_AP","1_HARVARD_PIT1_9-15_BULKD_AP","Ap","2012-07-17","2012-07-17","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",12.0,9.0,15.0,1.0,"Regular",0.6562,
"a3adf30d-c967-431d-bab0-dc31d7287746","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2C","1_HARVARD_PIT1_101-106_BULKD_2C","2C","2012-07-17","2012-07-17","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",103.5,101.0,106.0,1.0,"Regular",1.7729,"2 x 5 cm long cores"
"e840dd2c-978d-44f8-acc4-98ca7e467f35","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2BC","1_HARVARD_PIT1_85-95_BULKD_2BC","2BC","2012-07-17","2012-07-17","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",90.0,85.0,95.0,1.0,"Regular",1.4581,
"0fb91d66-24d3-425b-ad58-57f49d0053d6","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_A","1_HARVARD_PIT1_4-9_BULKD_A","A","2012-07-17","2012-07-17","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",6.5,4.0,9.0,1.0,"Regular",0.4772,"2 x 5 cm long cores"
"c46f13d7-00d1-4806-9805-7caf062eb949","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW2","1_HARVARD_PIT1_55-65_BULKD_BW2","Bw2","2012-07-17","2012-07-17","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",60.0,55.0,65.0,1.0,"Regular",1.4603,
"95f5c9e6-d5e5-4cb1-81ee-cbea1106e5a8","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_OI","1_HARVARD_PIT1_0-4_BULKD_OI","Oi","2012-07-17","2012-07-17","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",2.2,0.0,4.4,1.0,"Regular",0.4608,"Sample collected by cutting out a square of soil and measuring dimensions. Void caused by a rock was subtracted from sample volume."
"8e4281ed-3016-4257-922c-12ba258eb6c4","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD1","1_HARVARD_PIT1_115-125_BULKD_2CD1","2Cd1","2012-07-17","2012-07-17","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",120.0,115.0,125.0,1.0,"Regular",1.5210,
"14bddacb-1801-4a87-9a43-bacfb298b699","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW/E","1_HARVARD_PIT1_20-30_BULKD_BW/E","Bw/E","2012-07-17","2012-07-17","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",25.0,20.0,30.0,1.0,"Regular",0.7750,
"13c60207-f0f0-49d3-bac7-aeb210006206","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW1","1_HARVARD_PIT1_32-42_BULKD_BW1","Bw1","2012-07-17","2012-07-17","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",37.0,32.0,42.0,1.0,"Regular",1.2805,
"9137933b-53e2-47a3-b768-ed4a07f3ed3c","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD2","1_HARVARD_PIT1_133-137_BULKD_2CD2","2Cd2","2012-07-17","2012-07-17","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2012USMA075",135.0,133.0,137.0,1.0,"Regular",0.9727,
