uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,horizonTopDepth,horizonBottomDepth,nrcsDescriptionID,remarks
"64d48ed2-7321-49b2-8b61-da96f404dd83","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2C","2C","2012-07-17","2012-07-17",96.0,113.0,"S2012MA027001",
"3f13fb09-2d36-416c-8e47-0fd9eeea05f7","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW1","Bw1","2012-07-17","2012-07-17",32.0,53.0,"S2012MA027001",
"7e6bccdc-0136-440e-b8cd-3817dd6bb5d9","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW2","Bw2","2012-07-17","2012-07-17",53.0,82.0,"S2012MA027001",
"c2bd1e3c-a860-4890-a469-0c3710ebe2bc","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW/E","Bw/E","2012-07-17","2012-07-17",17.0,32.0,"S2012MA027001",
"214f04ad-0d24-49f3-9e3c-09f5b6a232bd","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2BC","2BC","2012-07-17","2012-07-17",82.0,96.0,"S2012MA027001",
"abe9f26a-f80a-4d14-b333-3e28167c01f0","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_AP","Ap","2012-07-17","2012-07-17",9.0,17.0,"S2012MA027001",
"5ab70676-d028-4500-85a9-1ccb6fc27869","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_OI","Oi","2012-07-17","2012-07-17",0.0,4.0,"S2012MA027001",
"9490e9b6-d05c-44ca-bf35-32a841544e7c","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD2","2Cd2","2012-07-17","2012-07-17",133.0,160.0,"S2012MA027001",
"9a10b824-154b-41de-836d-c6769b2b9254","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_A","A","2012-07-17","2012-07-17",4.0,9.0,"S2012MA027001",
"a9413d6a-2d6b-4e31-a2a6-63cb4bcc6c7c","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD1","2Cd1","2012-07-17","2012-07-17",113.0,133.0,"S2012MA027001",
