uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,archiveID,archiveLaboratoryName,archiveTopDepth,archiveBottomDepth,remarks,sampleMass
"440c6cb7-9a9b-48bf-8575-9a1099d2ab03","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT3","Bt3","2013-05-13","2013-05-13","2_SCBI_PIT1_59-114_ARCHIVE_BT3","NEON",59.0,114.0,,1199.3
"cd6b2949-72b1-42a9-b6bc-69d2e2ab9c15","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BT4","2Bt4","2013-05-13","2013-05-13","2_SCBI_PIT1_114-146_ARCHIVE_2BT4","NEON",114.0,146.0,,1200.2
"f754dc4a-0a5d-413d-8339-932b77f073e2","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT1","Bt1","2013-05-13","2013-05-13","2_SCBI_PIT1_14-34_ARCHIVE_BT1","NEON",14.0,34.0,,1201.1
"9053cbd0-e530-4c4c-b663-37571433e2f3","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BT5","2Bt5","2013-05-13","2013-05-13","2_SCBI_PIT1_146-179_ARCHIVE_2BT5","NEON",146.0,179.0,,1199.7
"676afe88-d295-49a2-b0d6-03848a5e0161","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_A","A","2013-05-13","2013-05-13","2_SCBI_PIT1_2-7_ARCHIVE_A","NEON",2.0,7.0,,1199.8
"d27265fc-169e-4f2b-a4c4-8355cb9ef66d","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2CR","2Cr","2013-05-13","2013-05-13",,,,,,
"01e45b4e-6efe-4183-a7cb-304aa8edd70b","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BC","2BC","2013-05-13","2013-05-13","2_SCBI_PIT1_179-200_ARCHIVE_2BC","NEON",179.0,200.0,,1200.3
"dfc14d6c-21aa-4e0e-b6e2-a3fb34421bcf","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BA","BA","2013-05-13","2013-05-13","2_SCBI_PIT1_7-14_ARCHIVE_BA","NEON",7.0,14.0,,1200.5
"3e658563-c9a5-4e55-9801-67338b161679","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT2","Bt2","2013-05-13","2013-05-13","2_SCBI_PIT1_34-59_ARCHIVE_BT2","NEON",34.0,59.0,,1200.7
"20791f8e-099c-4cb9-846e-3c06fd8e7f20","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_OI","Oi","2013-05-13","2013-05-13","2_SCBI_PIT1_0-2_ARCHIVE_OI","NEON",0.0,2.0,,569.9
