uid,domainID,siteID,pitNamedLocation,pitID,horizonID,biogeoID,horizonName,biogeoHorizonProportion,biogeoSampleType,setDate,collectDate,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,sandVeryCoarseContent,carbonTot,nitrogenTot,sulfurTot,estimatedOC,airDryOvenDry,alMjelm,caMjelm,feMjelm,kMjelm,mgMjelm,mnMjelm,naMjelm,pMjelm,siMjelm,srMjelm,tiMjelm,zrMjelm,phCacl2,phH2o,ec12pre,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,laboratoryName,labProjID,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,remarks
"60c603ac-16fa-404c-af49-2eba73725b59","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BT4","2_SCBI_PIT1_114-146_BIOGEO_2BT4","2Bt4",1.0,"Regular","2013-05-13","2013-05-13",30,33,14.1,51.0,34.9,,,38.1,12.9,7.0,2.9,2.5,1.4,0.3,1.1,0.40,0.10,1.0,1.035,100567,6208,139717,1249,8020,2595,1687,888,189414,84,22112,248,4.7,5.4,0.04,,0,8.9,0.1,5.7,0.0,16.5,,14.7,89,,1.0,,3.4,,0.0,0.3,0.2,0.0,0.07,0.0,84.50,0.0,0.0,0.2,0.0,0.0,0.0,0.0,5.1,,0.1,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",114.0,146.0,130.0,
"caf693ca-ff7e-4f17-b700-a469f0389c46","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT2","2_SCBI_PIT1_34-59_BIOGEO_BT2","Bt2",1.0,"Regular","2013-05-13","2013-05-13",80,154,15.5,53.0,31.5,,,41.5,11.5,4.9,2.8,2.9,2.9,2.0,2.7,0.00,0.10,2.0,1.019,67436,7646,108736,6919,2733,1116,1391,726,252950,124,20568,225,4.5,5.4,0.04,,0,2.8,0.1,0.9,0.0,9.3,,3.8,41,,1.4,,3.9,,0.0,0.2,0.2,0.0,0.08,0.0,55.10,0.2,0.0,0.1,0.0,0.0,0.0,0.0,5.1,,0.1,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",34.0,59.0,46.5,
"54996deb-2da4-49c7-a609-60b63c85f86c","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BT5","2_SCBI_PIT1_146-179_BIOGEO_2BT5","2Bt5",1.0,"Regular","2013-05-13","2013-05-13",50,6,10.1,52.3,37.6,,,41.5,10.8,3.9,3.1,1.9,1.0,0.2,1.0,0.20,0.10,1.0,1.030,111610,2050,133390,964,6262,2409,739,602,189966,29,23861,248,5.0,5.6,0.03,,0,7.2,0.1,6.0,0.0,14.5,,13.3,92,,0.2,,2.2,,0.0,0.3,0.2,0.0,0.07,0.0,92.10,0.0,0.0,0.2,0.0,0.0,0.0,0.0,5.2,,0.1,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",146.0,179.0,162.5,
"cfb726ad-fb24-4a43-921e-38fea28a7972","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2CR",,"2Cr",,,"2013-05-13","2013-05-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE",,,,,
"815f9ae6-426f-4980-938c-29d91e226f27","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT3","2_SCBI_PIT1_59-114_BIOGEO_BT3","Bt3",1.0,"Regular","2013-05-13","2013-05-13",89,306,18.3,44.6,37.1,,,32.9,11.7,6.1,4.5,1.7,2.7,3.3,1.5,0.30,0.20,1.0,1.025,92078,5699,135042,4290,3471,1656,721,804,221132,83,19947,236,4.7,5.5,0.04,,0,3.9,0.1,1.3,0.0,10.4,,5.3,51,,0.9,,3.7,,0.0,0.3,0.4,0.0,0.09,0.0,64.00,0.2,0.0,0.1,0.0,0.0,0.0,0.0,5.1,,0.1,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",59.0,114.0,86.5,
"848e4cc9-1450-417f-a340-699230f7f4c5","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_OI","2_SCBI_PIT1_0-2_BIOGEO_OI","Oi",1.0,"Regular","2013-05-13","2013-05-13",0,6,,,,,,,,,,,,,381.1,11.10,1.10,381.0,1.092,21512,24173,37322,2300,2579,1124,304,917,80618,267,6412,64,5.4,5.6,,,0,58.6,3.5,12.8,0.0,55.4,,75.7,100,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",0.0,2.0,1.0,
"f81d4e41-63e8-4e65-a364-af63cbf30404","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BA","2_SCBI_PIT1_7-14_BIOGEO_BA","BA",1.0,"Regular","2013-05-13","2013-05-13",76,157,17.3,50.5,32.2,,,37.8,12.7,5.7,3.6,4.7,1.7,1.6,28.7,2.50,0.10,28.0,1.025,68137,11330,121976,4277,2767,2025,859,1067,219434,155,23156,233,6.4,7.2,0.22,,0,12.6,0.5,2.1,0.0,15.1,,15.2,100,,,,,,0.0,3.9,0.6,0.0,0.64,0.0,62.40,4.5,0.6,1.6,0.0,0.1,0.0,0.0,6.7,,0.5,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",7.0,14.0,10.5,
"a710ed58-2268-4cf7-8981-c0c0f1a12ebc","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BC","2_SCBI_PIT1_179-200_BIOGEO_2BC","2BC",1.0,"Regular","2013-05-13","2013-05-13",120,323,28.1,39.0,32.9,,,29.8,9.2,6.9,6.0,5.4,8.1,1.7,0.7,0.20,0.10,0.0,1.025,99014,8037,133720,17421,7538,2075,354,639,184904,104,19885,213,5.0,5.8,0.04,,0,6.2,0.0,4.8,0.0,11.2,,11.0,98,,0.2,,1.8,,0.0,0.4,0.3,0.0,0.10,0.0,60.60,0.2,0.0,0.3,0.0,0.0,0.0,0.0,5.2,,0.1,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",179.0,200.0,189.5,
"40ab0470-0633-44f4-90cf-5bc3e87a5a3d","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_A","2_SCBI_PIT1_2-7_BIOGEO_A","A",1.0,"Regular","2013-05-13","2013-05-13",122,193,16.4,51.5,32.1,,,38.0,13.5,5.4,4.0,2.3,3.0,1.7,60.5,3.70,0.20,60.0,1.034,63592,12452,111888,4308,2821,1960,891,1166,208280,157,21375,195,6.8,7.4,0.43,,0,21.5,0.8,3.7,0.0,23.7,,26.0,100,,,,,,0.0,6.7,0.5,0.0,1.07,0.0,82.60,7.6,1.1,2.8,0.0,0.2,0.1,0.0,7.0,,0.6,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",2.0,7.0,4.5,
"c5aacdf0-13a9-4163-8e48-5c199badd2b9","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT1","2_SCBI_PIT1_14-34_BIOGEO_BT1","Bt1",1.0,"Regular","2013-05-13","2013-05-13",68,206,17.3,53.4,29.3,,,41.3,12.1,4.6,3.7,3.1,4.1,1.8,6.7,0.80,0.10,6.0,1.019,64593,8951,116311,5242,2507,1615,1194,896,247500,134,23670,240,4.9,5.7,0.05,,0,1.7,0.0,0.6,0.0,6.7,,2.3,34,,0.4,,3.5,,0.0,0.3,0.2,0.0,0.10,0.0,50.60,0.3,0.1,0.2,0.0,0.0,0.1,0.0,5.4,,0.2,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",14.0,34.0,24.0,
