uid,domainID,siteID,pitNamedLocation,pitID,horizonID,bulkDensID,horizonName,setDate,collectDate,laboratoryName,labProjID,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensHorizonProportion,bulkDensSampleType,bulkDensExclCoarseFrag,remarks
"8f3ec82a-0bd1-4e09-893b-134ccdcbcd79","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_A","2_SCBI_PIT1_2-7_BULKD_A","A","2013-05-13","2013-05-13","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",4.5,2.0,7.0,1.0,"Regular",0.6869,"2 x 5 cm cores"
"a76a5f1a-7691-4988-8c81-58f0770104c9","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BT5","2_SCBI_PIT1_150-160_BULKD_2BT5","2Bt5","2013-05-13","2013-05-13","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",155.0,150.0,160.0,1.0,"Regular",1.3594,
"93b31f89-f694-4bfc-9f1b-7a3b8eaab69c","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BT4","2_SCBI_PIT1_125-135_BULKD_2BT4","2Bt4","2013-05-13","2013-05-13","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",130.0,125.0,135.0,1.0,"Regular",1.2434,
"f15a8eb5-9985-4750-a8d5-92b7c911d361","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BC","2_SCBI_PIT1_184-194_BULKD_2BC","2BC","2013-05-13","2013-05-13","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",189.0,184.0,194.0,1.0,"Regular",1.2876,
"db32c444-873d-4ef8-84ed-05bd85a79518","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT1","2_SCBI_PIT1_20-30_BULKD_BT1","Bt1","2013-05-13","2013-05-13","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",25.0,20.0,30.0,1.0,"Regular",1.1716,
"12e8c71c-acf6-478e-969c-eb39dd3eec59","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT2","2_SCBI_PIT1_35-43_BULKD_BT2","Bt2","2013-05-13","2013-05-13","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",39.0,35.0,43.0,1.0,"Regular",0.8863,
"b540ae63-60d9-469b-b818-4418e07c51a2","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_OI","2_SCBI_PIT1_0-2_BULKD_OI","Oi","2013-05-13","2013-05-13","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",1.0,0.0,2.0,1.0,"Regular",0.0609,
"00cee7a4-bb41-4db1-9954-65753859fafb","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT3","2_SCBI_PIT1_65-68_BULKD_BT3","Bt3","2013-05-13","2013-05-13","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",66.5,65.0,68.0,1.0,"Regular",1.0738,"4 x 3 cm long cores"
"855f213b-fa43-4ceb-a032-89dead7e026c","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BA","2_SCBI_PIT1_8-13_BULKD_BA","BA","2013-05-13","2013-05-13","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USVA087",10.5,8.0,13.0,1.0,"Regular",0.7939,"2 x 5 cm cores"
"b5f1f205-6902-4a6f-8b82-1c6ce01aa91d","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2CR",,"2Cr","2013-05-13","2013-05-13","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE",,,,,,,,
