uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,horizonTopDepth,horizonBottomDepth,nrcsDescriptionID,remarks
"5255fa91-f07c-4a43-88d8-847a3a03090c","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_A","A","2013-05-13","2013-05-13",2.0,7.0,"S13VA-187-1-X-Lew",
"15c85f4c-e465-47af-a1ca-77e01c292382","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT2","Bt2","2013-05-13","2013-05-13",34.0,59.0,"S13VA-187-1-X-Lew",
"61b67726-bbbe-4bd2-baa8-55287d81c115","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2CR","2Cr","2013-05-13","2013-05-13",209.0,247.0,"S13VA-187-1-X-Lew",
"4b49a748-7e8e-4ba2-94e4-f32e6595465b","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_OI","Oi","2013-05-13","2013-05-13",0.0,2.0,"S13VA-187-1-X-Lew",
"c46bf52b-67f4-4610-82a2-f4da60193067","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT3","Bt3","2013-05-13","2013-05-13",59.0,114.0,"S13VA-187-1-X-Lew",
"677f08c3-fc14-4423-89e1-4df0483f8d99","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BT4","2Bt4","2013-05-13","2013-05-13",114.0,146.0,"S13VA-187-1-X-Lew",
"d9bfbb9c-fb31-4008-806f-5420670eb57c","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BT5","2Bt5","2013-05-13","2013-05-13",146.0,179.0,"S13VA-187-1-X-Lew",
"c21cb7c4-4b3c-46c7-9772-53968f098177","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT1","Bt1","2013-05-13","2013-05-13",14.0,34.0,"S13VA-187-1-X-Lew",
"2f112711-e152-4065-bc99-4bebba741b74","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BA","BA","2013-05-13","2013-05-13",7.0,14.0,"S13VA-187-1-X-Lew",
"56c5012a-360c-415a-a24e-947f012b6b45","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BC","2BC","2013-05-13","2013-05-13",179.0,209.0,"S13VA-187-1-X-Lew",
