uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,archiveID,archiveLaboratoryName,archiveTopDepth,archiveBottomDepth,remarks,sampleMass
"1d3db79a-a8cf-4ebe-b247-1b59d07cd856","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_E","E","2014-05-05","2014-05-05","2_SERC_PIT1_ARCHIVE_23-37_E","NEON",23.0,37.0,,3600.0
"fdb5e8c8-4b11-496c-9102-9bba8ae7c7d4","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_A","A","2014-05-05","2014-05-05","2_SERC_PIT1_ARCHIVE_2-13_A","NEON",2.0,13.0,,2712.5
"d2de4d24-5ce4-43d7-af55-2c2ca17e5c45","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_OE","Oe","2014-05-05","2014-05-05","2_SERC_PIT1_ARCHIVE_0-2_O","NEON",0.0,2.0,,3600.1
"402f9771-595e-4183-9baa-79c451187325","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BTG2","Btg2","2014-05-05","2014-05-05","2_SERC_PIT1_ARCHIVE_131-147_BTG2","NEON",131.0,147.0,,3309.1
"2ad1cc51-be94-4ffe-b912-3f1bdda30e85","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_EA","EA","2014-05-05","2014-05-05","2_SERC_PIT1_ARCHIVE_13-23_EA","NEON",13.0,23.0,,3600.3
"dff41ecd-3dc7-41a6-b09e-2a879dad4f4c","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT3","Bt3","2014-05-05","2014-05-05","2_SERC_PIT1_ARCHIVE_75-85_BT3","NEON",75.0,85.0,,3334.6
"401385c8-8a46-4eb0-a1d8-db72e85b87a4","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT1","Bt1","2014-05-05","2014-05-05","2_SERC_PIT1_ARCHIVE_37-60_BT1","NEON",37.0,60.0,,3153.5
"609b19a0-2bca-4b96-a84c-c938fd50b15d","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_C","C","2014-05-05","2014-05-05","2_SERC_PIT1_ARCHIVE_147-156_C1","NEON",147.0,156.0,,3324.5
"90594a69-d493-43de-a7e2-7d44aa8f056e","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT3","Bt3","2014-05-05","2014-05-05",,,,,,
"b01b4006-8f5c-4f0d-ae9f-f4824f8b1ebb","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT2","Bt2","2014-05-05","2014-05-05","2_SERC_PIT1_ARCHIVE_60-75_BT2","NEON",60.0,75.0,,2962.8
"538b0ec2-20db-4cad-a8da-4820804de7e2","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_C1","C1","2014-05-05","2014-05-05","2_SERC_PIT1_ARCHIVE_187-200_C2","NEON",187.0,200.0,,3600.2
"4e4e3d85-2d93-4744-9b4e-a00cf83fb621","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_CG","Cg","2014-05-05","2014-05-05","2_SERC_PIT1_ARCHIVE_156-187_CG","NEON",156.0,187.0,,3192.7
"290fc2bb-e414-4caf-a51a-90c5250ce2a5","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BTG1","Btg1","2014-05-05","2014-05-05","2_SERC_PIT1_ARCHIVE_85-131_BTG1","NEON",85.0,131.0,,3225.8
