uid,domainID,siteID,pitNamedLocation,pitID,horizonID,biogeoID,horizonName,biogeoHorizonProportion,biogeoSampleType,setDate,collectDate,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,sandVeryCoarseContent,carbonTot,nitrogenTot,sulfurTot,estimatedOC,airDryOvenDry,alMjelm,caMjelm,feMjelm,kMjelm,mgMjelm,mnMjelm,naMjelm,pMjelm,siMjelm,srMjelm,tiMjelm,zrMjelm,phCacl2,phH2o,ec12pre,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,laboratoryName,labProjID,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,remarks
"12b2d484-6acb-44c0-bae7-d55b81f9dfd6","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_E","2_SERC_PIT1_BIOGEO_23-37_E","E",1.0,"Regular","2014-05-05","2014-05-05",0,0,60.8,24.6,14.6,,,15.8,8.8,16.6,37.0,6.3,0.9,0.0,2.9,0.10,0.00,2.0,1.017,26328,656,30419,12889,4413,218,1351,327,353426,28,5284,183,4.2,5.4,0.04,,0,1.0,0.2,0.8,0.0,7.9,,2.0,25,,4.0,,1.1,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",23.0,37.0,30.0,
"bcd8b588-c0ff-48c3-a67d-484335d12899","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_C","2_SERC_PIT1_BIOGEO_147-156_C1","C",1.0,"Regular","2014-05-05","2014-05-05",0,0,64.4,17.7,17.9,,,9.6,8.1,22.8,32.7,8.5,0.3,0.1,0.9,0.10,0.00,1.0,1.031,29669,675,37541,12180,5082,91,1383,1344,337609,37,4478,129,4.0,4.9,0.06,,,1.3,0.2,2.2,0.0,11.8,59,3.7,31,9.0,5.3,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",147.0,156.0,151.5,
"c431b653-82b3-4358-b5f3-11d8c5b53f4a","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_CG","2_SERC_PIT1_BIOGEO_156-187_CG","Cg",1.0,"Regular","2014-05-05","2014-05-05",2,1,62.8,17.3,19.9,,,8.7,8.6,29.1,30.7,2.1,0.8,0.1,0.9,0.20,0.00,1.0,1.028,31671,784,25743,12513,5389,107,1577,480,353573,51,4927,163,3.9,4.9,0.04,,,1.5,0.4,2.6,0.0,12.0,58,4.5,38,10.6,6.1,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",156.0,187.0,171.5,
"0efeeb27-6a9a-4b4b-a99c-1cd6e0b2fb9a","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT3","2_SERC_PIT1_BIOGEO_75-85_BT3","Bt3",1.0,"Regular","2014-05-05","2014-05-05",0,0,50.9,19.9,29.2,,,12.5,7.4,20.1,27.7,2.4,0.7,0.0,1.9,0.10,0.00,2.0,1.042,38011,685,56564,15327,6507,155,1186,993,304780,32,4535,149,4.1,5.1,0.06,,,2.6,0.5,4.0,0.0,16.1,48,7.1,44,13.7,6.6,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",75.0,85.0,80.0,
"3171de13-441a-4603-b3dc-935bd38323d6","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_C1","2_SERC_PIT1_BIOGEO_187-200_C2","C1",1.0,"Regular","2014-05-05","2014-05-05",7,5,80.7,7.7,11.6,,,4.5,3.2,10.0,44.0,22.3,4.1,0.3,1.1,0.00,0.00,1.0,1.022,22020,497,35233,12513,5666,127,775,317,362453,22,5057,103,5.3,4.9,0.05,,,1.3,0.3,2.1,0.0,9.3,53,3.7,40,7.9,4.2,,0.1,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",187.0,200.0,193.5,
"a942fa5b-f189-4a12-a0a0-57028dedcecd","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT3","2_SERC_PIT1_BIOGEO_?-?_?","Bt3",1.0,"Audit","2014-05-05","2014-05-05",0,0,50.8,19.5,29.7,,,12.1,7.4,19.3,27.0,3.9,0.5,0.1,1.8,0.50,0.00,2.0,1.042,39571,722,59060,15522,7088,155,1134,1015,310029,34,4405,125,4.2,5.1,0.07,,,2.6,0.5,4.0,0.0,16.1,49,7.1,44,13.9,6.8,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",75.0,85.0,80.0,
"97bacf49-5515-4454-bf00-9d44875fd16d","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BTG2","2_SERC_PIT1_BIOGEO_131-147_BTG2","Btg2",1.0,"Regular","2014-05-05","2014-05-05",0,0,50.5,26.2,23.3,,,14.9,11.3,22.5,25.4,2.3,0.2,0.1,1.0,0.20,0.00,1.0,1.032,33486,757,27940,12891,4727,97,1697,617,319512,37,4837,194,4.0,5.0,0.05,,,1.7,0.4,2.7,0.0,13.7,59,4.8,35,11.6,6.8,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",131.0,147.0,139.0,
"8f7452ad-9272-4ef6-8e62-55dac8a18385","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT2","2_SERC_PIT1_BIOGEO_60-75_BT2","Bt2",1.0,"Regular","2014-05-05","2014-05-05",0,0,52.8,15.5,31.7,,,9.4,6.1,19.0,29.4,4.3,0.1,0.0,1.8,0.20,0.10,2.0,1.047,41888,816,51606,18330,8225,157,1014,618,310713,33,4589,147,4.1,5.2,0.07,,,3.4,0.7,5.1,0.0,18.9,47,9.2,49,17.2,8.0,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",60.0,75.0,67.5,
"cd2f1b4f-4a92-4a73-a821-477ac6c2fc4e","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_OE","2_SERC_PIT1_BIOGEO_0-2_O","Oe",1.0,"Regular","2014-05-05","2014-05-05",0,0,61.7,26.8,11.5,,,16.2,10.6,20.6,35.5,4.9,0.7,0.0,79.9,4.40,0.40,79.0,1.030,20012,3602,19324,9160,3384,297,1235,442,301884,46,4452,149,5.9,6.8,0.42,,0,14.2,0.5,3.6,0.0,20.7,,18.3,88,,,,,,0.0,6.1,0.6,0.0,0.91,0.0,88.60,4.8,0.5,3.9,0.0,0.1,0.1,0.0,5.7,,0.4,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",0.0,2.0,1.0,
"b0823960-e8ed-4e05-aa55-96f5f74c9e65","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_A","2_SERC_PIT1_BIOGEO_2-13_A","A",1.0,"Regular","2014-05-05","2014-05-05",0,0,61.6,25.8,12.6,,,16.3,9.5,20.8,32.2,8.1,0.4,0.1,33.8,2.10,0.40,33.0,1.021,21836,1753,22697,9836,3431,302,1326,369,339762,35,4913,165,5.1,6.3,0.12,,0,6.3,0.3,1.8,0.0,13.6,,8.4,62,,0.4,,0.8,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",2.0,13.0,7.5,
