uid,domainID,siteID,pitNamedLocation,pitID,horizonID,bulkDensID,horizonName,setDate,collectDate,laboratoryName,labProjID,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensHorizonProportion,bulkDensSampleType,bulkDensExclCoarseFrag,remarks
"ee7f2df6-f7a0-494a-bd32-230ee66cdf63","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BTG2","2_SERC_PIT1_BULKD_135-145_BTG2","Btg2","2014-05-05","2014-05-05","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",140.0,135.0,145.0,1.0,"Regular",1.6523,
"575e3ba0-e5ef-4b52-ae9d-d9bb7caa48dd","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT1","2_SERC_PIT1_BULKD_38-48_BT1","Bt1","2014-05-05","2014-05-05","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",43.0,38.0,48.0,1.0,"Regular",1.4644,
"0771ee8a-4ce9-4771-aec3-9e833ca50e0f","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT3","2_SERC_PIT1_BULKD_75-85_BT3","Bt3","2014-05-05","2014-05-05","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",80.0,75.0,85.0,1.0,"Regular",1.6192,
"03485e4a-a284-4eaf-907e-5b23ae0556ef","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_OE","2_SERC_PIT1_BULKD_0-2_O","Oe","2014-05-05","2014-05-05","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",1.0,0.0,2.0,1.0,"Regular",0.9406,
"ac7e2f62-a4df-4978-8a53-1f1945de01e2","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_E","2_SERC_PIT1_BULKD_25-35_E","E","2014-05-05","2014-05-05","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",30.0,25.0,35.0,1.0,"Regular",1.5915,
"cd83ae69-2b8f-40f4-9283-ca90b9629177","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_EA","2_SERC_PIT1_BULKD_13-23_EA","EA","2014-05-05","2014-05-05","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",18.0,13.0,23.0,1.0,"Regular",1.4810,
"c7174bc7-e7d9-4cb5-83df-5bfdcfc398d7","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_C1","2_SERC_PIT1_BULKD_190-200_C2","C1","2014-05-05","2014-05-05","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",195.0,190.0,200.0,1.0,"Regular",1.4479,
"e87ad109-8dd1-44c8-9356-bde3e4e1188d","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT3",,"Bt3","2014-05-05","2014-05-05","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",,,,,,,"Bulk density audit sample appears not to have been collected"
"685f8f0c-3d60-46d5-953c-61b7944d125c","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_A","2_SERC_PIT1_BULKD_2-12_A","A","2014-05-05","2014-05-05","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",7.0,2.0,12.0,1.0,"Regular",0.9837,
"b481d90d-3a21-4b59-9049-e4c0d810ac20","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_CG","2_SERC_PIT1_BULKD_170-173CG","Cg","2014-05-05","2014-05-05","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",171.5,170.0,173.0,1.0,"Regular",1.4368,"4 x 3 cm long cores"
"7170cfa2-4d93-4d2c-898a-f7000cc7aa72","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BTG1","2_SERC_PIT1_BULKD_100-110_BTG1","Btg1","2014-05-05","2014-05-05","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",105.0,100.0,110.0,1.0,"Regular",1.6965,
"cdebd5aa-033a-49dc-833a-232261575760","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT2","2_SERC_PIT1_BULKD_63-73_BT2","Bt2","2014-05-05","2014-05-05","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",68.0,63.0,73.0,1.0,"Regular",1.3871,
"0958148a-ea30-44c3-a737-076f2861fd52","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_C","2_SERC_PIT1_BULKD_151-154_C1","C","2014-05-05","2014-05-05","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USMD052",152.5,151.0,154.0,1.0,"Regular",1.4598,"4 x 3 cm long cores"
