uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,horizonTopDepth,horizonBottomDepth,nrcsDescriptionID,remarks
"5b8dffcb-2274-4816-acf0-2180d40f9d52","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_OE","Oe","2014-05-05","2014-05-05",0.0,2.0,"2014MD003001",
"369e9cb5-2d12-4bda-90a9-39ff6877c0c4","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT3","Bt3","2014-05-05","2014-05-05",75.0,85.0,"2014MD003001",
"06378533-6364-489d-ad19-8335646b61fc","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_C1","C1","2014-05-05","2014-05-05",187.0,200.0,"2014MD003001","No photo of horizon taken due to being under the water table and difficulty in photographing it due to the mud depth in the bottom of the pit."
"d0ccff1d-8ab2-4f9f-bab8-893aa8f319aa","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_A","A","2014-05-05","2014-05-05",2.0,13.0,"2014MD003001",
"543589f9-fb25-4ffb-af8e-aa0f29589900","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_E","E","2014-05-05","2014-05-05",23.0,37.0,"2014MD003001",
"58d11e44-eee1-4c7f-8c0c-36521e95ef19","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BTG2","Btg2","2014-05-05","2014-05-05",131.0,147.0,"2014MD003001",
"2b1849c1-9fb5-4217-81e5-310d9a402d49","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BTG1","Btg1","2014-05-05","2014-05-05",85.0,131.0,"2014MD003001",
"4e256f9a-7ec5-42fd-adeb-0a3a730b537c","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_CG","Cg","2014-05-05","2014-05-05",156.0,187.0,"2014MD003001",
"7f950f2d-fab6-49e8-a4d6-fe398331a872","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT2","Bt2","2014-05-05","2014-05-05",60.0,75.0,"2014MD003001",
"4c3411da-c855-4813-af2c-86d7f7d4f2f8","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT1","Bt1","2014-05-05","2014-05-05",37.0,60.0,"2014MD003001",
"ea3f8d37-0d5a-489b-92e4-443ff995c2df","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_EA","EA","2014-05-05","2014-05-05",13.0,23.0,"2014MD003001",
"a9a7c228-d730-418b-9c7f-42fc5f4ed2b5","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_C","C","2014-05-05","2014-05-05",147.0,156.0,"2014MD003001",
