uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,archiveID,archiveLaboratoryName,archiveTopDepth,archiveBottomDepth,remarks,sampleMass
"9660d5d5-f194-43c5-a8a3-092eecb4898e","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","C","2015-04-10","2015-04-10","4_GUANICA_PIT1_ARCHIVE_C","NEON",126.0,161.0,,3600.2
"ab2aa8a9-61dc-458f-8934-7b7b8bd48505","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BK3","Bk3","2015-04-10","2015-04-10","4_GUANICA_PIT1_ARCHIVE_BK3","NEON",86.0,105.0,,3600.6
"5127929d-f3ef-4136-868b-dc579c6ed415","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_A","A","2015-04-10","2015-04-10","4_GUANICA_PIT1_ARCHIVE_A","NEON",0.0,30.0,,3600.0
"1d377852-fa85-420a-871c-283bf7ad5111","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BK2","Bk2","2015-04-10","2015-04-10","4_GUANICA_PIT1_ARCHIVE_BK2","NEON",55.0,86.0,,3600.2
"6190e798-196b-4907-abb8-668cbb3f3d3e","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BK1","Bk1","2015-04-10","2015-04-10","4_GUANICA_PIT1_ARCHIVE_BK1","NEON",30.0,55.0,,3601.1
"12af88bf-c1e9-4f83-8e1f-ccf05bd73f4e","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","C","2015-04-10","2015-04-10",,,,,,
"72f91e24-c7c0-47e1-9204-c67a1b3b8be4","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","C","2015-04-10","2015-04-10",,,,,,
"1905375f-ada4-405e-b170-31ab26db5a4a","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BCK","BCk","2015-04-10","2015-04-10","4_GUANICA_PIT1_ARCHIVE_BCK","NEON",105.0,126.0,,3600.6
"f3213ddf-486c-4d5c-81a1-211bce8b195c","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","C","2015-04-10","2015-04-10",,,,,,
"47c1e572-9962-4036-8ba8-3cbf4d968b44","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","C","2015-04-10","2015-04-10",,,,,,
"6e8e8ae2-4f2b-4fe4-889b-4eaabe9b4c63","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_CR","Cr","2015-04-10","2015-04-10","4_GUANICA_PIT1_ARCHIVE_CR","NEON",161.0,200.0,,3600.0
