uid,domainID,siteID,pitNamedLocation,pitID,horizonID,biogeoID,horizonName,biogeoHorizonProportion,biogeoSampleType,setDate,collectDate,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,sandVeryCoarseContent,carbonTot,nitrogenTot,sulfurTot,estimatedOC,airDryOvenDry,alMjelm,caMjelm,feMjelm,kMjelm,mgMjelm,mnMjelm,naMjelm,pMjelm,siMjelm,srMjelm,tiMjelm,zrMjelm,phCacl2,phH2o,ec12pre,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,laboratoryName,labProjID,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,remarks
"e43e65df-33c6-4103-9e53-b9141c09935b","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BK3","4_GUANICA_PIT1_BIOGEO_86-105_BK3","Bk3",1.0,"Regular","2015-04-10","2015-04-10",6,0,5.3,36.7,58.0,25.4,,27.7,9.0,3.6,1.5,0.1,0.1,0.0,64.1,0.50,0.50,1.0,1.052,39954,194999,22957,5885,11244,90,7600,345,135163,536,2069,29,8.7,8.8,5.40,0,530,66.0,0.7,11.0,19.5,33.9,,97.2,100,,,,,,1.5,4.1,42.8,0.0,6.00,0.0,159.60,1.6,0.2,3.2,56.6,0.2,0.0,0.0,8.3,,11.9,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",86.0,105.0,95.5,
"7c0a3c2f-3800-42a6-9e6f-8966144469d7","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BCK","4_GUANICA_PIT1_BIOGEO_105-126_BCK","BCk",1.0,"Regular","2015-04-10","2015-04-10",0,0,6.3,33.9,59.8,15.6,,25.9,8.0,3.7,2.2,0.3,0.1,0.0,45.6,0.60,0.60,0.0,1.061,47776,131792,27399,7319,12348,84,9676,377,164209,538,2486,35,8.6,8.7,7.30,0,380,63.0,1.5,12.9,32.2,44.0,,109.6,100,,,,,,0.3,4.2,49.5,0.0,6.79,0.0,214.50,2.1,0.3,3.8,63.7,0.1,0.8,0.0,8.3,,13.1,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",105.0,126.0,115.5,
"59ed2c20-1938-4943-b2ce-9e898feb4365","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C",,"C",,,"2015-04-10","2015-04-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",,,,
"edd9f3d4-bcd4-45ac-97ab-f5834a2cba77","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","4_GUANICA_PIT1_BIOGEO_126-161_C","C",1.0,"Regular","2015-04-10","2015-04-10",0,0,8.0,36.8,55.2,12.9,,29.7,7.1,4.5,3.0,0.4,0.1,0.0,49.7,0.00,0.50,0.0,1.061,49272,160775,27673,8218,12808,94,10401,513,166182,647,2518,36,8.4,8.4,7.70,0,420,64.6,1.5,13.3,36.4,43.4,,115.8,100,,,,,,1.9,6.0,68.6,0.0,8.74,0.0,180.50,1.1,0.4,5.3,81.6,0.1,0.0,0.0,8.2,,14.8,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",126.0,161.0,143.5,
"5221e718-0180-4dcc-af64-ec05cd66c4fd","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C",,"C",,,"2015-04-10","2015-04-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",,,,
"e0478a65-baf1-4148-97c9-dff2e1c1121e","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","4_GUANICA_PIT1_BIOGEO_1","C",1.0,"Audit","2015-04-10","2015-04-10",0,0,9.2,36.3,54.5,12.6,,28.6,7.7,4.7,3.8,0.5,0.2,0.0,49.9,0.40,0.50,0.0,1.056,47739,161697,27259,7947,12455,94,10054,478,162811,631,2440,35,8.6,8.6,7.76,0,410,65.8,2.0,12.8,34.3,42.0,,114.9,100,,,,,,0.0,6.5,85.1,0.0,10.65,0.0,144.60,1.2,0.2,7.2,95.2,0.0,0.0,0.0,8.1,,17.4,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",126.0,161.0,143.5,
"d0fb79de-c6f1-4bf9-ae07-464da7ee49ae","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_CR","4_GUANICA_PIT1_BIOGEO_161-200_CR","Cr",1.0,"Regular","2015-04-10","2015-04-10",0,0,12.6,53.4,34.0,9.7,,43.4,10.0,6.3,5.3,0.7,0.2,0.1,77.8,0.40,0.40,0.0,1.035,30944,247733,18595,4917,8017,137,6222,442,97448,659,1452,20,8.6,8.7,5.68,0,660,53.1,1.5,7.2,20.4,25.8,,82.2,100,,,,,,0.0,3.3,47.3,0.0,6.27,0.0,167.40,0.9,0.4,3.4,52.7,0.0,0.0,0.0,8.3,,8.5,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",161.0,200.0,180.5,
"3a8d364d-dea2-42af-ba3b-69280ce81f8b","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BK2","4_GUANICA_PIT1_BIOGEO_55-86_BK2","Bk2",1.0,"Regular","2015-04-10","2015-04-10",5,1,4.2,45.0,50.8,27.5,,37.1,7.9,2.7,1.2,0.2,0.1,0.0,82.8,0.90,0.20,1.0,1.039,25018,207372,15008,3312,7291,75,3657,190,78859,377,1326,17,8.3,8.6,2.43,0,680,68.8,0.4,9.0,11.5,28.7,,89.7,100,,,,,,0.0,3.4,32.0,0.0,4.53,0.0,104.80,2.2,0.2,2.2,36.1,0.0,0.0,0.0,8.1,,3.6,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",55.0,86.0,70.5,
"278b53e3-5f9d-4e2c-942b-e8922054b87e","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_A","4_GUANICA_PIT1_BIOGEO_0-30_A","A",1.0,"Regular","2015-04-10","2015-04-10",225,1,7.7,57.4,34.9,3.9,,48.2,9.2,1.7,1.3,2.4,1.4,0.9,129.2,5.80,0.50,55.0,1.049,26009,237292,15917,3859,6370,114,729,420,79479,257,1371,19,7.6,7.9,0.56,0,620,71.8,1.5,5.3,0.0,36.7,,78.6,100,,,,,,0.0,10.5,1.7,0.0,1.30,0.1,83.80,9.2,1.0,2.3,0.0,0.2,0.0,0.0,7.1,,0.5,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",0.0,30.0,15.0,
"92b0f9f7-0ce2-487b-9c28-101c893f88a2","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C",,"C",,,"2015-04-10","2015-04-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",,,,
