uid,domainID,siteID,pitNamedLocation,pitID,horizonID,bulkDensID,horizonName,setDate,collectDate,laboratoryName,labProjID,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensHorizonProportion,bulkDensSampleType,bulkDensExclCoarseFrag,remarks
"5bcd5129-3507-4e78-8e41-9704f19f23c2","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","4_GUANICA_PIT1_BULKD_3","C","2015-04-10","2015-04-10","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",134.5,132.0,137.0,1.0,"Audit",1.1220,
"4803cb97-44df-4a64-b50d-2180c366ade9","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_CR","4_GUANICA_PIT1_BULKD_182-187_CR","Cr","2015-04-10","2015-04-10","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",184.5,182.0,187.0,1.0,"Regular",1.2175,
"4ea93fbf-cb59-4721-b1fa-9dae8279c38a","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","4_GUANICA_PIT1_BULKD_132-137_C","C","2015-04-10","2015-04-10","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",134.5,132.0,137.0,1.0,"Regular",1.1658,
"a45afc5a-8929-41be-bb7d-d93308b50fc5","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_A","4_GUANICA_PIT1_BULKD_1-6_A","A","2015-04-10","2015-04-10","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",3.5,1.0,6.0,1.0,"Regular",0.9430,
"49025ed7-28f8-42d6-ac9b-329f7f0b15a3","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","4_GUANICA_PIT1_BULKD_2","C","2015-04-10","2015-04-10","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",134.5,132.0,137.0,1.0,"Audit",1.2175,
"d93e746f-9775-4c74-aed5-8421906a42d8","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BK3","4_GUANICA_PIT1_BULKD_96-101-BKS","Bk3","2015-04-10","2015-04-10","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",98.5,96.0,101.0,1.0,"Regular",1.2454,
"7dbedf73-9e39-48c1-8a9c-1c80e380c7c2","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BK2","4_GUANICA_PIT1_BULKD_65-70_BK2","Bk2","2015-04-10","2015-04-10","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",67.5,65.0,70.0,1.0,"Regular",1.4364,
"9e997811-a8dd-4587-8914-72389aa503ab","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","4_GUANICA_PIT1_BULKD_1","C","2015-04-10","2015-04-10","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",134.5,132.0,137.0,1.0,"Audit",1.1220,
"7196ebf2-662b-44e0-895b-1c1d3c105188","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BCK","4_GUANICA_PIT1_BULKD_106-111_BCK","BCk","2015-04-10","2015-04-10","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",108.5,106.0,111.0,1.0,"Regular",1.1579,
"17a36f7e-fea9-4360-b12d-cd899222203d","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","4_GUANICA_PIT1_BULKD_4","C","2015-04-10","2015-04-10","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",134.5,132.0,137.0,1.0,"Audit",1.1937,
"471d3d9f-da96-4c3a-9fb8-9c2539687844","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BK1","4_GUANICA_PIT1_BULKD_34-39_BK1","Bk1","2015-04-10","2015-04-10","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USPR055",36.5,34.0,39.0,1.0,"Regular",1.3488,
