uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,archiveID,archiveLaboratoryName,archiveTopDepth,archiveBottomDepth,remarks,sampleMass
"22b2b14b-be40-47f6-a752-d79150d4bc6c","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_2BC","2BC","2015-06-15","2015-06-15","5_TREE_PIT1_ARCHIVE_107-168_2BC","NEON",107.0,168.0,,3600.5
"df4e5bac-3dcd-47a3-a6cc-1dbf10498175","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_3CD1","3Cd1","2015-06-15","2015-06-15","5_TREE_PIT1_ARCHIVE_168-176_3CD1","NEON",168.0,176.0,,3600.3
"f19a2355-ca70-4cd4-baf4-43aec6f57bf6","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_2E_AND_BT","2E and Bt","2015-06-15","2015-06-15",,,,,,
"00676762-0efc-4499-9c71-c4907eb9d88a","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_3CD2","3Cd2","2015-06-15","2015-06-15","5_TREE_PIT1_ARCHIVE_176-200_3CD2","NEON",176.0,200.0,,3600.7
"7c5cbdbb-fa82-476c-893a-5609b8b49a44","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_E1","E","2015-06-15","2015-06-15","5_TREE_PIT1_ARCHIVE_33-52_E1","NEON",33.0,52.0,,3600.5
"3be02af9-8609-4f4a-864d-d8f622656701","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_BS","Bs","2015-06-15","2015-06-15","5_TREE_PIT1_ARCHIVE_17-33_BS","NEON",17.0,33.0,,3600.3
"86da9602-ad51-4b89-8b1c-760faebebffc","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_A/E","A/E","2015-06-15","2015-06-15","5_TREE_PIT1_ARCHIVE_2-17_A/E","NEON",2.0,17.0,,3600.6
"3ea6482b-7208-43da-8985-c21a0516ec64","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_OA","Oa","2015-06-15","2015-06-15","5_TREE_PIT1_ARCHIVE_0-2_OA","NEON",0.0,2.0,,3600.2
"257fed8e-e985-41e7-aca0-12e416f0353e","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_E/B","E/B","2015-06-15","2015-06-15","5_TREE_PIT1_ARCHIVE_52-66_E/B","NEON",52.0,66.0,,3600.5
"8414f2ca-0c26-4e57-b673-d56e9a01821c","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_2E_AND_BT","2E and Bt","2015-06-15","2015-06-15","5_TREE_PIT1_ARCHIVE_66-107_2E_AND_BT","NEON",66.0,107.0,,3600.7
