uid,domainID,siteID,pitNamedLocation,pitID,horizonID,biogeoID,horizonName,biogeoHorizonProportion,biogeoSampleType,setDate,collectDate,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,sandVeryCoarseContent,carbonTot,nitrogenTot,sulfurTot,estimatedOC,airDryOvenDry,alMjelm,caMjelm,feMjelm,kMjelm,mgMjelm,mnMjelm,naMjelm,pMjelm,siMjelm,srMjelm,tiMjelm,zrMjelm,phCacl2,phH2o,ec12pre,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,laboratoryName,labProjID,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,remarks
"c17fb908-ccb2-4fb9-b9e3-e3014e790db6","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_2BC","5_TREE_PIT1_BIOGEO_107-168_2BC","2BC",1.0,"Regular","2015-06-15","2015-06-15",35,48,97.2,1.3,1.5,,,1.3,0.0,1.6,15.0,59.8,17.2,3.6,0.5,0.30,0.00,1.0,1.003,33709,5227,13825,14816,2910,205,8478,263,364138,102,1614,40,4.9,5.8,0.02,,,0.2,0.0,0.1,0.0,1.6,25,0.3,19,0.4,0.1,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USWI070",107.0,168.0,137.5,
"1a571524-e704-4e22-9d33-87666ca50269","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_2E_AND_BT","5_TREE_PIT1_BIOGEO_1","2E and Bt",1.0,"Audit","2015-06-15","2015-06-15",28,25,95.0,2.5,2.5,,,1.9,0.6,2.1,28.7,50.1,12.7,1.4,0.4,0.20,0.00,0.0,1.004,36962,4704,13231,15036,2744,182,8119,266,367578,103,1616,41,4.7,5.7,0.02,,,0.2,0.0,0.2,0.0,1.7,43,0.4,24,0.7,0.3,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USWI070",66.0,107.0,86.5,
"6dff17bb-73af-4f0c-a6d4-be0e740045ff","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_3CD2","5_TREE_PIT1_BIOGEO_176-200_3CD2","3Cd2",1.0,"Regular","2015-06-15","2015-06-15",53,86,81.0,14.4,4.6,,,7.4,7.0,6.9,20.0,38.2,11.2,4.7,0.7,0.10,0.00,1.0,1.007,39102,5774,20792,16269,3495,335,9177,305,356116,109,3138,97,4.7,5.7,0.02,,,0.8,0.0,0.5,0.0,3.0,13,1.3,43,1.5,0.2,,0.2,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USWI070",176.0,200.0,188.0,
"32c997c8-ce9b-4706-b089-041c22c098c5","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_3CD1","5_TREE_PIT1_BIOGEO_168-176_3CD1","3Cd1",1.0,"Regular","2015-06-15","2015-06-15",60,79,77.5,16.6,5.9,,,10.3,6.3,6.3,16.7,41.3,8.9,4.3,0.7,0.10,0.00,1.0,1.008,40733,6399,23195,15158,4167,363,9120,274,349186,110,3324,99,4.6,5.6,0.02,,,0.7,0.0,0.4,0.0,2.8,21,1.1,39,1.4,0.3,,0.1,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USWI070",168.0,176.0,172.0,
"4275cadf-fbf6-4fa3-b2bd-96e75e225b7f","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_2E_AND_BT","5_TREE_PIT1_BIOGEO_66-107_2E_AND_BT","2E and Bt",1.0,"Regular","2015-06-15","2015-06-15",25,28,94.6,2.5,2.9,,,1.8,0.7,2.4,30.7,48.7,11.5,1.3,0.4,0.50,0.00,0.0,1.004,37412,4732,13103,14957,2643,187,8111,245,358922,102,1572,43,4.7,5.8,0.02,,,0.2,0.1,0.3,0.0,1.8,33,0.6,33,0.9,0.3,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USWI070",66.0,107.0,86.5,
"c510ced5-e75f-4e46-83c8-02fec32956f5","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_A/E","5_TREE_PIT1_BIOGEO_2-17_A/E","A/E",1.0,"Regular","2015-06-15","2015-06-15",19,46,70.5,22.3,7.2,,,12.7,9.6,3.8,17.6,34.9,11.8,2.4,22.7,1.70,0.00,23.0,1.018,35600,4266,16055,14589,2205,859,6726,357,339937,93,2684,98,4.7,5.4,0.07,,,3.8,0.2,0.6,0.0,8.4,8,4.6,55,5.0,0.4,,4.3,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USWI070",2.0,17.0,9.5,
"0457f8fd-63b3-479a-8546-a7d2573ada46","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_BS","5_TREE_PIT1_BIOGEO_17-33_BS","Bs",1.0,"Regular","2015-06-15","2015-06-15",16,28,74.2,20.3,5.5,,,10.6,9.7,3.7,16.4,42.5,9.6,2.0,11.3,0.80,0.00,11.0,1.014,39816,4088,16564,14668,2280,410,7084,373,348732,93,2610,105,4.8,5.5,0.05,,,1.2,0.1,0.2,0.0,6.3,35,1.5,24,2.3,0.8,,0.4,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USWI070",17.0,33.0,25.0,
"5f03365c-3d90-48ca-8d42-0e486d62805d","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_E/B","5_TREE_PIT1_BIOGEO_52-66_E/B","E/B",1.0,"Regular","2015-06-15","2015-06-15",31,61,71.9,23.4,4.7,,,12.8,10.6,4.0,18.1,44.1,2.8,2.9,2.9,0.40,0.00,3.0,1.009,37257,4589,19539,15445,2788,331,7660,266,351311,97,3162,124,4.6,5.6,0.03,,,0.4,0.1,0.3,0.0,3.4,47,0.8,24,1.5,0.7,,0.1,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USWI070",52.0,66.0,59.0,
"2ca1b19e-7b54-4757-b3c7-d9ea801ffddc","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_OA","5_TREE_PIT1_BIOGEO_0-2_OA","Oa",1.0,"Regular","2015-06-15","2015-06-15",16,13,83.2,12.0,4.8,,,6.9,5.1,3.0,17.8,56.7,4.8,0.9,29.6,1.90,0.10,30.0,1.015,35506,4616,13443,14278,1943,757,7034,392,334432,96,2044,52,5.3,5.8,0.20,,,4.1,0.4,0.8,0.0,7.3,,5.3,73,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USWI070",0.0,2.0,1.0,
"3a93d4aa-da3d-4d45-92de-14acaff59974","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_E1","5_TREE_PIT1_BIOGEO_33-52_E1","E",1.0,"Regular","2015-06-15","2015-06-15",17,24,70.1,25.3,4.6,,,13.3,12.0,4.4,15.5,41.9,6.5,1.8,5.5,0.50,0.00,6.0,1.010,38340,4154,16592,15089,2697,374,7378,189,334132,95,2772,106,4.7,5.5,0.03,,,0.3,0.1,0.1,0.0,3.8,58,0.5,13,1.2,0.7,,0.1,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2015USWI070",33.0,52.0,42.5,
