uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,archiveID,archiveLaboratoryName,archiveTopDepth,archiveBottomDepth,remarks,sampleMass
"757e2f51-d05a-4ab2-a481-ad42ace6d1f5","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_3C2","3C2","2013-09-09","2013-09-09","5_UNDERC_PIT1_147-200_ARCHIVE_3C2","NEON",147.0,200.0,,3618.3
"62ca9c84-2f1d-484c-ba0e-5b129f715372","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_2BT2","2Bt2","2013-09-09","2013-09-09","5_UNDERC_PIT1_83-114_ARCHIVE_2BT2","NEON",83.0,114.0,,3612.0
"51a09356-0f65-42a8-9629-de198ff94810","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_E","E","2013-09-09","2013-09-09","5_UNDERC_PIT1_15-23_ARCHIVE_E","NEON",15.0,23.0,,3600.7
"f085d660-e7c4-452e-8d3b-21490ec7ab8f","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_A","A","2013-09-09","2013-09-09","5_UNDERC_PIT1_0-8_ARCHIVE_A","NEON",0.0,8.0,,2648.9
"2c3b634d-1a6f-41a2-a798-042c2aa2cf36","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_BS","Bs","2013-09-09","2013-09-09","5_UNDERC_PIT1_8-15_ARCHIVE_BS","NEON",8.0,15.0,,3600.0
"f7b2f058-6def-4d46-b5eb-108eb719b0c2","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_BS2","BS2","2013-09-09","2013-09-09","5_UNDERC_PIT1_31-48_ARCHIVE_BS2","NEON",31.0,48.0,,3601.7
"3a3cf7e8-4f40-423c-9d9b-2c23990413e8","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_E/BX","E/Bx","2013-09-09","2013-09-09","5_UNDERC_PIT1_48-57_ARCHIVE_E/BX","NEON",48.0,57.0,,3617.6
"0f6cbd9d-38e3-4d26-947d-d4381f72a126","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_2C1","2C1","2013-09-09","2013-09-09","5_UNDERC_PIT1_114-147_ARCHIVE_2C1","NEON",114.0,147.0,,3608.7
"27711699-d89a-42f8-a10c-b889de78e0aa","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_BS1","BS1","2013-09-09","2013-09-09","5_UNDERC_PIT1_23-31_ARCHIVE_BS1","NEON",23.0,31.0,,3601.3
"a64f040c-8528-47b3-bab5-738583549a89","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_2BT1","2Bt1","2013-09-09","2013-09-09","5_UNDERC_PIT1_57-83_ARCHIVE_2BT1","NEON",57.0,83.0,,3601.7
"5c7877f3-914d-42ba-bcf8-60c319d3e403","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_A","A","2013-09-09","2013-09-09",,,,,,
