uid,domainID,siteID,pitNamedLocation,pitID,horizonID,biogeoID,horizonName,biogeoHorizonProportion,biogeoSampleType,setDate,collectDate,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,sandVeryCoarseContent,carbonTot,nitrogenTot,sulfurTot,estimatedOC,airDryOvenDry,alMjelm,caMjelm,feMjelm,kMjelm,mgMjelm,mnMjelm,naMjelm,pMjelm,siMjelm,srMjelm,tiMjelm,zrMjelm,phCacl2,phH2o,ec12pre,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,laboratoryName,labProjID,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,remarks
"ba95337c-f0ce-4410-bcf2-94f6f59b727f","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_2BT2","5_UNDERC_PIT1_83-114_BIOGEO_2BT2","2Bt2",1.0,"Regular","2013-09-09","2013-09-09",0,0,8.5,69.6,21.9,,,39.7,29.9,7.4,1.0,0.1,0.0,0.0,1.3,0.30,0.00,1.0,1.019,61090,10677,35106,18152,8872,601,14081,497,312667,115,6480,280,5.5,6.4,0.02,,,8.4,0.2,4.5,0.0,10.1,,13.1,100,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",83.0,114.0,98.5,
"1fc372e3-f680-4b35-bdb0-17c2a2a7ccca","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_2C1","5_UNDERC_PIT1_114-147_BIOGEO_2C1","2C1",1.0,"Regular","2013-09-09","2013-09-09",0,0,11.6,71.2,17.2,,,36.7,34.5,9.8,1.6,0.1,0.1,0.0,1.0,0.80,0.10,1.0,1.017,58291,10166,32826,17347,7874,554,14270,443,321370,114,6444,307,5.7,6.6,0.03,,,7.3,0.1,3.7,0.0,8.9,,11.1,100,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",114.0,147.0,130.5,
"da7f8ec9-ab2d-4a97-ae97-4458ed753473","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_A","5_UNDERC_PIT1_BIOGEO1","A",1.0,"Audit","2013-09-09","2013-09-09",10,13,63.1,36.4,0.5,,,12.5,23.9,14.9,25.6,17.8,4.0,0.8,72.4,3.60,0.40,72.0,1.022,36093,5913,20944,14225,4022,353,7777,461,330025,76,4023,187,4.7,5.8,0.09,,,3.4,0.2,0.9,0.0,11.9,22,4.5,38,5.8,1.3,,4.1,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",0.0,8.0,4.0,
"215b6d71-51f0-4776-adbf-409227852b19","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_BS2","5_UNDERC_PIT1_31-48_BIOGEO_BS2","BS2",1.0,"Regular","2013-09-09","2013-09-09",65,50,55.8,40.9,3.3,,,14.5,26.4,21.1,23.7,7.8,2.4,0.8,5.8,0.40,0.10,6.0,1.009,42969,7117,21994,16814,4479,305,11411,390,354253,96,5157,295,4.8,5.7,0.02,,,0.3,0.0,0.1,0.0,3.7,75,0.4,11,1.6,1.2,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",31.0,48.0,39.5,
"087f8bb9-f512-4364-ace1-807859ef4a8e","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_BS1","5_UNDERC_PIT1_23-31_BIOGEO_BS1","BS1",1.0,"Regular","2013-09-09","2013-09-09",45,88,54.5,38.9,6.6,,,15.4,23.5,17.6,20.5,13.4,2.6,0.4,15.1,1.00,0.10,15.0,1.019,44506,6144,26420,15369,4581,295,9508,620,337752,84,5316,248,4.7,5.5,0.02,,,0.4,0.0,0.0,0.0,9.3,87,0.4,4,3.0,2.6,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",23.0,31.0,27.0,
"11673317-1bc5-4a2a-b42c-bf7659d6ff77","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_E/BX","5_UNDERC_PIT1_48-57_BIOGEO_E/BX","E/Bx",1.0,"Regular","2013-09-09","2013-09-09",0,0,18.6,59.4,22.0,,,33.4,26.0,12.3,5.6,0.6,0.1,0.0,1.4,0.30,0.10,1.0,1.015,58982,7281,33313,18580,7776,487,12793,320,323891,100,6287,290,4.9,5.9,0.02,,,5.1,0.1,2.7,0.0,9.1,7,7.9,87,8.5,0.6,,0.1,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",48.0,57.0,52.5,
"b66dbf3d-8778-4c37-81c2-0e4adda4d6fc","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_E","5_UNDERC_PIT1_15-23_BIOGEO_E","E",1.0,"Regular","2013-09-09","2013-09-09",23,40,48.3,45.3,6.4,,,21.2,24.1,14.5,19.0,11.4,2.8,0.6,14.2,0.90,0.10,14.0,1.012,35850,3733,18122,15116,2215,219,8158,213,366342,73,5256,271,4.6,5.6,0.02,,,0.7,0.0,0.1,0.0,6.3,73,0.8,13,3.0,2.2,,0.1,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",15.0,23.0,19.0,
"443d2924-0f65-4375-88ea-979681212b5f","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_A","5_UNDERC_PIT1_0-8_BIOGEO_A","A",1.0,"Regular","2013-09-09","2013-09-09",13,17,62.3,32.0,5.7,,,12.7,19.3,16.1,26.1,15.9,3.5,0.7,39.9,2.40,0.30,40.0,1.021,34820,5298,19372,14452,3527,320,7680,403,335267,73,3817,188,4.8,5.9,0.08,,,3.3,0.2,0.9,0.0,11.4,21,4.4,39,5.6,1.2,,1.6,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",0.0,8.0,4.0,
"d9c97ea1-7b6f-46c5-a4fc-d543ed2cafba","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_BS","5_UNDERC_PIT1_8-15_BIOGEO_BS","Bs",1.0,"Regular","2013-09-09","2013-09-09",34,71,62.6,32.1,5.3,,,13.4,18.7,15.0,23.9,19.7,3.0,1.0,19.7,1.40,0.20,20.0,1.014,37093,4956,21711,15204,3655,294,8190,307,298575,74,4342,210,4.7,5.6,0.03,,,0.7,0.1,0.2,0.0,6.9,64,1.0,14,2.8,1.8,,0.3,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",8.0,15.0,11.5,
"fc98e5f4-0b4d-4d3a-8f88-e2d34ba934eb","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_3C2","5_UNDERC_PIT1_147-200_BIOGEO_3C2","3C2",1.0,"Regular","2013-09-09","2013-09-09",0,0,57.9,36.8,5.3,,,10.8,26.0,31.9,24.1,1.8,0.1,0.0,0.9,0.10,0.00,1.0,1.008,45405,8522,25358,17854,5169,429,12147,396,337831,101,5426,308,5.0,6.0,0.02,,,3.1,0.1,1.1,0.0,4.4,4,4.3,98,4.5,0.2,,0.1,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",147.0,200.0,173.5,
