uid,domainID,siteID,pitNamedLocation,pitID,horizonID,bulkDensID,horizonName,setDate,collectDate,laboratoryName,labProjID,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensHorizonProportion,bulkDensSampleType,bulkDensExclCoarseFrag,remarks
"5dc0466c-5666-4225-8bcf-db6e1d92af49","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_A","5_UNDERC_PIT1_BULKD1","A","2013-09-09","2013-09-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",2.5,0.0,5.0,1.0,"Audit",1.0168,"2 x 5 cm long cores"
"6e1b9087-aa65-4feb-92c5-6d7e738aa805","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_BS1","5_UNDERC_PIT1_25-30_BULKD_BS1","BS1","2013-09-09","2013-09-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",27.5,25.0,30.0,1.0,"Regular",1.2637,"2 x 5 cm long cores"
"c2c8c628-b719-46cf-b90b-1352bf58af3a","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_E/BX","5_UNDERC_PIT1_51-56_BULKD_E/BX","E/Bx","2013-09-09","2013-09-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",53.5,51.0,56.0,1.0,"Regular",1.7021,"2 x 5 cm long cores"
"65af7790-2eec-4077-8be7-4d5b336d86a9","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_E","5_UNDERC_PIT1_16-21_BULKD_E","E","2013-09-09","2013-09-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",18.5,16.0,21.0,1.0,"Regular",1.8300,"2 x 5 cm long cores"
"f10a5143-a919-4a7a-9d0d-c7d488283e85","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_2BT2","5_UNDERC_PIT1_91-101_BULKD_2BT2","2Bt2","2013-09-09","2013-09-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",96.0,91.0,101.0,1.0,"Regular",1.7629,
"fd0dfd6f-153d-420a-8f48-b9abf761bb66","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_2C1","5_UNDERC_PIT1_120-130_BULKD_2C1","2C1","2013-09-09","2013-09-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",125.0,120.0,130.0,1.0,"Regular",1.7794,
"15a727d0-b8d6-4be6-a3df-53105958b3aa","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_BS","5_UNDERC_PIT1_8-13_BULKD_BS","Bs","2013-09-09","2013-09-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",10.5,8.0,13.0,1.0,"Regular",1.3925,"2 x 5 cm long cores"
"c6f0e3be-5c07-42d9-a60b-35e5ade6d0d4","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_2BT1","5_UNDERC_PIT1_60-70_BULKD_2BT1","2Bt1","2013-09-09","2013-09-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",65.0,60.0,70.0,1.0,"Regular",1.7408,
"3d228416-1724-49bc-8fe2-c90f49f3828f","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_A","5_UNDERC_PIT1_0-5_BULKD_A","A","2013-09-09","2013-09-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",2.5,0.0,5.0,1.0,"Regular",1.0625,"2 x 5 cm long cores"
"e5de968b-02f5-4c7e-bc86-3e437ff4b8ff","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_3C2","5_UNDERC_PIT1_152-160_BULKD_3C2","3C2","2013-09-09","2013-09-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",157.0,152.0,162.0,1.0,"Regular",1.6523,
"866ef3b6-0361-4e8a-8267-fb7e92e14a14","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_BS2","5_UNDERC_PIT1_33-43_BULKD_BS2","BS2","2013-09-09","2013-09-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USMI131",38.0,33.0,43.0,1.0,"Regular",1.4875,
