uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,archiveID,archiveLaboratoryName,archiveTopDepth,archiveBottomDepth,remarks,sampleMass
"721d933e-7bdc-4012-8de0-3f0712d0e1b5","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BTKSS","Btkss","2014-08-04","2014-08-04","6_KONZAAG_PIT1_ARCHIVE_119-156_BTKSS","NEON",119.0,156.0,,3600.7
"1cc8ccc5-8fbb-464a-a5ee-ebfeaf113779","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_AP","Ap","2014-08-04","2014-08-04","6_KONZAAG_PIT1_ARCHIVE_0-12_AP","NEON",0.0,12.0,,3601.4
"db661f49-bb2c-4eea-a74f-62a00880cffd","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT1","Bt1","2014-08-04","2014-08-04","6_KONZAAG_PIT1_ARCHIVE_12-31_BT1","NEON",12.0,31.0,,3604.2
"ba3af12a-3a0d-47c4-8d06-6889cd9801fa","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT2","Bt2","2014-08-04","2014-08-04","6_KONZAAG_PIT1_ARCHIVE_31-54_BT2","NEON",31.0,54.0,,3600.9
"430a86f0-be8a-41e7-9bda-d7fb2eb1a9d1","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT2","Bt2","2014-08-04","2014-08-04",,,,,,
"1ffb3fe7-46c2-4b97-b4cd-7a8b2c5d1d56","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT2","Bt2","2014-08-04","2014-08-04",,,,,,
"843dfded-8d1c-40cf-b8c4-e52edf092b69","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BTK","Btk","2014-08-04","2014-08-04","6_KONZAAG_PIT1_ARCHIVE_156-206_BTK","NEON",156.0,206.0,,3602.2
"b01abfdc-0a75-4057-a471-72a856bf36af","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BTSS","Btss","2014-08-04","2014-08-04","6_KONZAAG_PIT1_ARCHIVE_89-119_BTSS","NEON",89.0,119.0,,3601.1
"2ecc4686-da8c-4c49-80b0-41cf4ac8c0da","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT3","Bt3","2014-08-04","2014-08-04","6_KONZAAG_PIT1_ARCHIVE_54-89_BT3","NEON",54.0,89.0,,3600.3
"90c3d5d6-4e41-4e28-bb54-edefcc7817c6","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT2","Bt2","2014-08-04","2014-08-04",,,,,,
"c4e2a9b9-b3b1-4274-95e4-3c5329623b46","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT2","Bt2","2014-08-04","2014-08-04",,,,,,
