uid,domainID,siteID,pitNamedLocation,pitID,horizonID,biogeoID,horizonName,biogeoHorizonProportion,biogeoSampleType,setDate,collectDate,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,sandVeryCoarseContent,carbonTot,nitrogenTot,sulfurTot,estimatedOC,airDryOvenDry,alMjelm,caMjelm,feMjelm,kMjelm,mgMjelm,mnMjelm,naMjelm,pMjelm,siMjelm,srMjelm,tiMjelm,zrMjelm,phCacl2,phH2o,ec12pre,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,laboratoryName,labProjID,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,remarks
"e1b24a48-dee3-435b-b8ed-7b4bb2a16037","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT3","6_KONZAAG_PIT1_BIOGEO_54-89_BT3","Bt3",1.0,"Regular","2014-08-04","2014-08-04",0,0,2.6,53.5,43.9,,,33.3,20.2,1.8,0.5,0.2,0.1,0.0,6.0,2.00,0.00,6.0,1.064,67703,6684,27454,20404,7274,527,6918,349,320504,123,4166,151,6.3,7.0,0.12,,,20.3,0.8,5.1,0.0,27.8,,26.2,94,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",54.0,89.0,71.5,
"8e50f39b-1401-4b80-8bca-20b9238055e4","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT2","6_KONZAAG_PIT1_BIOGEO_BIOGEO3_BT2","Bt2",1.0,"Audit","2014-08-04","2014-08-04",0,0,3.6,52.3,44.1,,,29.1,23.2,2.7,0.6,0.3,0.0,0.0,10.4,2.20,0.10,10.0,1.062,66283,6254,27998,20531,7191,619,6429,350,310795,111,4164,173,6.0,6.8,0.10,,,20.1,0.7,5.1,0.0,27.4,,25.9,95,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",31.0,54.0,42.5,
"ab66ced2-d263-4447-ac79-05c919527930","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT2","6_KONZAAG_PIT1_BIOGEO_31-54_BT2","Bt2",1.0,"Regular","2014-08-04","2014-08-04",0,0,3.4,51.7,44.9,,,28.6,23.1,2.5,0.6,0.3,0.0,0.0,10.6,2.70,0.00,11.0,1.062,67396,6342,28098,20698,7303,606,6481,341,313149,113,4172,157,6.1,6.8,0.12,,,19.9,0.7,3.7,0.0,27.7,,24.3,88,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",31.0,54.0,42.5,
"2b534394-8b76-4690-baa5-415d9d1100ab","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BTK","6_KONZAAG_PIT1_BIOGEO_156-206_BTK","Btk",1.0,"Regular","2014-08-04","2014-08-04",0,0,4.8,61.9,33.3,1.3,,30.9,31.0,4.5,0.1,0.1,0.1,0.0,3.7,1.80,0.10,2.0,1.043,62842,11040,25743,20395,7257,516,8169,504,322053,159,4135,179,7.7,8.3,0.22,,10,28.9,0.7,4.5,0.0,20.0,,34.1,100,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",156.0,206.0,181.0,
"c1f352f1-48cf-4427-acff-0199dd9a3eb1","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BTKSS","6_KONZAAG_PIT1_BIOGEO_119-156_BTKSS","Btkss",1.0,"Regular","2014-08-04","2014-08-04",0,0,3.5,56.6,39.9,0.0,,34.0,22.6,2.7,0.3,0.1,0.3,0.1,6.9,2.30,0.10,4.0,1.054,67222,16291,27725,20764,7864,534,7604,483,308949,159,3974,151,7.7,8.3,0.24,,20,38.6,0.7,5.1,0.0,24.3,,44.4,100,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",119.0,156.0,137.5,
"c5a90509-e339-46f6-bffa-b35d8ec778e5","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT1","6_KONZAAG_PIT1_BIOGEO_12-31_BT2","Bt1",1.0,"Regular","2014-08-04","2014-08-04",0,0,3.8,53.3,42.9,,,27.0,26.3,3.4,0.3,0.1,0.0,0.0,16.8,2.80,0.10,17.0,1.056,63408,6818,26240,20514,6840,535,6492,396,313791,110,4140,166,6.5,7.2,0.12,,,22.2,0.7,5.1,0.0,27.5,,28.0,100,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",12.0,31.0,21.5,
"23a96104-b410-4bab-aa16-97a8cee08d30","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT2","6_KONZAAG_PIT1_BIOGEO_BIOGEO2_BT2","Bt2",1.0,"Audit","2014-08-04","2014-08-04",0,0,3.5,52.9,43.6,,,30.0,22.9,2.6,0.9,0.0,0.0,0.0,10.5,2.00,0.10,11.0,1.061,67011,6659,28080,21639,7383,645,6423,390,310529,113,4163,161,6.1,6.8,0.09,,,20.6,0.7,5.0,0.0,27.3,,26.3,96,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",31.0,54.0,42.5,
"739f035e-c813-4c39-aacc-9499185bb987","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BTSS","6_KONZAAG_PIT1_BIOGEO_89-119_BTSS","Btss",1.0,"Regular","2014-08-04","2014-08-04",131,0,1.6,53.8,44.6,,,36.1,17.7,1.3,0.2,0.1,0.0,0.0,4.5,2.20,0.00,4.0,1.063,68300,7645,28600,21475,7873,543,7228,382,309657,140,4054,149,7.0,7.7,0.11,,0,21.7,0.8,5.7,0.0,27.7,,28.2,100,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",89.0,119.0,104.0,
"292c7c66-2955-42e3-b2b8-c5752d160306","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT2","6_KONZAAG_PIT1_BIOGEO_BIOGEO1_BT2","Bt2",1.0,"Audit","2014-08-04","2014-08-04",0,0,3.3,52.4,44.3,,,30.1,22.3,2.2,0.8,0.2,0.1,0.0,10.7,2.30,0.10,11.0,1.061,66971,6598,27982,21341,7415,599,6425,341,311393,113,4139,159,6.1,6.8,0.11,,,20.6,0.7,5.2,0.0,27.5,,26.5,96,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",31.0,54.0,42.5,
"7dc6e984-da50-435d-9d6f-671f9d1b8aa7","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_AP","6_KONZAAG_PIT1_BIOGEO_0-12_AP","Ap",1.0,"Regular","2014-08-04","2014-08-04",1,0,5.5,58.6,35.9,0.9,,25.7,32.9,5.1,0.3,0.0,0.1,0.0,19.1,2.80,0.10,19.0,1.044,57137,8674,22772,20278,5871,568,6980,490,318228,110,4266,180,7.5,7.9,0.29,,0,29.4,1.3,2.1,0.0,25.0,,32.8,100,,,,,,0.0,6.6,0.4,0.0,0.75,0.0,56.40,2.0,0.1,0.6,0.0,0.5,3.2,0.0,7.6,,0.8,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",0.0,12.0,6.0,
"29f31317-53dc-4e40-bc8e-2884717b53ce","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT2","6_KONZAAG_PIT1_BIOGEO_BIOGEO4_BT2","Bt2",1.0,"Audit","2014-08-04","2014-08-04",0,0,3.4,52.5,44.1,,,29.2,23.3,2.5,0.6,0.3,0.0,0.0,11.0,2.10,0.40,11.0,1.062,67408,6277,28041,20752,7418,610,6457,344,312140,113,4162,168,6.1,6.9,0.10,,,20.0,0.8,5.2,0.0,27.5,,26.0,95,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",31.0,54.0,42.5,
