uid,domainID,siteID,pitNamedLocation,pitID,horizonID,bulkDensID,horizonName,setDate,collectDate,laboratoryName,labProjID,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensHorizonProportion,bulkDensSampleType,bulkDensExclCoarseFrag,remarks
"8ea331bc-a426-492a-b55e-7642e88d3b66","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BTSS","6_KONZAAG_PIT1_BULKD_94-97_BTSS","Btss","2014-08-04","2014-08-04","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",95.5,94.0,97.0,1.0,"Regular",1.6579,"4 x 3 cm Cores"
"5df4f412-a63e-488d-8858-26ad4515db29","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BTK","6_KONZAAG_PIT1_BULKD_160-163_BTK","Btk","2014-08-04","2014-08-04","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",161.5,160.0,163.0,1.0,"Regular",1.6118,"4 x 3 cm Cores"
"6bc6aef9-0336-409e-91a7-7591c64c84d6","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT2",,"Bt2","2014-08-04","2014-08-04","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",,,,,,,"Bulk density audit sample appears not to have been collected"
"a36ae082-574a-4f47-accc-e9a33f29c471","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_AP","6_KONZAAG_PIT1_BULKD_0-10_AP","Ap","2014-08-04","2014-08-04","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",5.0,0.0,10.0,1.0,"Regular",1.2811,
"27cbaf76-c410-43d5-9577-d5e934e047d6","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT3","6_KONZAAG_PIT1_BULKD_65-85_BT3","Bt3","2014-08-04","2014-08-04","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",70.0,65.0,75.0,1.0,"Regular",1.7187,"Bottom depth recorded as 85 cm. Changed to 75 cm as that matches depth on sample bag and sampling protocol guidelines and center depth"
"22550057-50fa-4ea3-8b13-f08ca2033141","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT2",,"Bt2","2014-08-04","2014-08-04","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",,,,,,,"Bulk density audit sample appears not to have been collected"
"fb3bc8bb-ab51-4604-9aa3-894efb350c00","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT2",,"Bt2","2014-08-04","2014-08-04","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",,,,,,,"Bulk density audit sample appears not to have been collected"
"4099a4d4-0760-4bf7-9bee-f464318ab3e6","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BTKSS","6_KONZAAG_PIT1_BULKD_121-124_BTKSS","Btkss","2014-08-04","2014-08-04","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",122.5,121.0,124.0,1.0,"Regular",1.6440,"4 x 3 cm Cores"
"6ed4fe8e-6c0d-4acb-9e38-bb69d65d2a42","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT2","6_KONZAAG_PIT1_BULKD_32-42_BT2","Bt2","2014-08-04","2014-08-04","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",37.0,32.0,42.0,1.0,"Regular",,"Sample was collected on 6 Aug 2014 but went missing after collection and before analytical lab login"
"12da79e5-9e74-4547-a2e4-15c77f95522d","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT1","6_KONZAAG_PIT1_BULKD_13-23_BT1","Bt1","2014-08-04","2014-08-04","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",18.0,13.0,23.0,1.0,"Regular",1.3534,
"1e2ae853-0345-4347-b43e-c989cd860977","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1","6_KONZAAG_PIT1_BT2",,"Bt2","2014-08-04","2014-08-04","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USKS075",,,,,,,"Bulk density audit sample appears not to have been collected"
