uid,domainID,siteID,pitNamedLocation,pitID,horizonID,biogeoID,horizonName,biogeoHorizonProportion,biogeoSampleType,setDate,collectDate,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,sandVeryCoarseContent,carbonTot,nitrogenTot,sulfurTot,estimatedOC,airDryOvenDry,alMjelm,caMjelm,feMjelm,kMjelm,mgMjelm,mnMjelm,naMjelm,pMjelm,siMjelm,srMjelm,tiMjelm,zrMjelm,phCacl2,phH2o,ec12pre,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,laboratoryName,labProjID,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,remarks
"7b9c63e4-9276-49c5-b010-39c69002c0e0","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_OE","7_MLBS_PIT1_BIOGEO_0-3_OE","Oe",1.0,"Regular","2013-12-02","2013-12-02",0,0,63.3,29.9,6.8,,,21.0,8.9,12.9,42.3,6.5,1.3,0.3,229.1,11.90,0.30,229.0,1.054,9837,1031,3001,2123,773,35,468,622,218254,19,1653,90,3.1,4.1,0.30,,,2.6,0.7,2.7,0.0,66.5,45,6.0,9,11.0,5.0,,1.1,,0.0,0.2,0.7,0.0,0.31,0.0,188.30,0.0,0.5,0.4,0.1,0.0,0.0,0.0,3.7,,0.6,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",5.0,8.0,6.5,"NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"c6e600ea-c7c8-4f51-a89b-dbc4e9769043","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_OA","7_MLBS_PIT1_BIOGEO_3-6_OA","Oa",1.0,"Regular","2013-12-02","2013-12-02",2,1,70.6,22.3,7.1,,,15.3,7.0,10.9,42.9,16.2,0.4,0.2,147.6,6.40,0.00,148.0,1.040,9530,592,2268,1868,573,23,386,448,310884,17,1869,100,3.1,4.1,0.17,,,1.0,0.4,1.4,0.0,43.9,67,2.8,6,8.5,5.7,,0.6,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",8.0,11.0,9.5,"NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"ce7510a4-de62-4c4c-abce-494e1781df79","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_2CG2","7_MLBS_PIT1_BIOGEO_>160-<200_BIOGEO1","2Cg2",1.0,"Audit","2013-12-02","2013-12-02",19,0,3.1,37.8,59.1,,,23.5,14.3,1.6,1.0,0.4,0.1,0.0,1.0,0.70,0.00,1.0,1.014,95079,861,13029,37961,5628,43,1912,78,255797,80,5288,140,4.0,4.8,0.18,,,1.8,0.5,0.6,0.0,12.8,65,2.9,23,8.4,5.5,,0.5,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",165.0,205.0,185.0,"Soil collected from clods taken during excavation; exact depths unknown (top/bottom depths are min/max possible depths). NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"ea958138-f1bc-477a-aaa2-6c25ec7da110","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_E","7_MLBS_PIT1_BIOGEO_39-51_E","E",1.0,"Regular","2013-12-02","2013-12-02",3,1,77.0,14.1,8.9,,,10.2,3.9,13.9,51.6,11.1,0.3,0.1,6.1,0.60,0.00,6.0,1.007,15585,314,3229,2805,1008,17,326,36,380816,15,1843,110,4.1,4.7,0.02,,,0.0,0.0,0.0,0.0,5.9,,0.0,0,,3.8,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",44.0,56.0,50.0,"NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"436986ab-fa57-4b13-9a22-5ae153237f55","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_BW2","7_MLBS_PIT1_BIOGEO_100-135_BG2","Bw2",1.0,"Regular","2013-12-02","2013-12-02",12,22,71.2,17.2,11.6,,,12.4,4.8,13.6,45.4,11.3,0.7,0.2,3.3,0.30,0.00,3.0,1.006,20624,245,2976,3043,840,14,263,228,390936,22,2655,144,4.1,4.7,0.02,,,0.0,0.0,0.0,0.0,3.7,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",105.0,140.0,122.5,"NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"909fb1dd-0d39-4a72-a940-68d96ac08cda","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_2CG2","7_MLBS_PIT1_BIOGEO_>160-<200_BIOGEO3","2Cg2",1.0,"Audit","2013-12-02","2013-12-02",0,0,5.1,37.9,57.0,,,31.8,6.1,2.3,1.8,0.5,0.4,0.1,0.7,1.20,0.00,1.0,1.013,103792,329,11746,38837,5798,27,1613,192,262989,82,5394,139,3.9,4.7,0.03,,,0.0,0.3,0.1,0.0,9.5,95,0.4,4,7.3,6.9,,0.2,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",165.0,205.0,185.0,"Soil collected from clods taken during excavation; exact depths unknown (top/bottom depths are min/max possible depths). NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"57ebc9ee-b4a4-4b92-acff-c3960673c559","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_2CG2","7_MLBS_PIT1_BIOGEO_>160-<200_2C2","2Cg2",1.0,"Regular","2013-12-02","2013-12-02",3,0,4.6,38.6,56.8,,,32.7,5.9,2.5,1.7,0.2,0.1,0.1,0.7,0.50,0.00,1.0,1.013,69778,316,12153,36651,3929,33,1652,153,261756,64,5454,158,4.0,4.8,0.02,,,0.1,0.4,0.1,0.0,11.2,92,0.6,5,7.4,6.8,,0.2,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",165.0,205.0,185.0,"Soil collected from clods taken during excavation; exact depths unknown (top/bottom depths are min/max possible depths). NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"e76e0331-74d5-4305-80a6-06e0fcbf1525","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_BW1","7_MLBS_PIT1_BIOGEO_51-100_BG1","Bw1",1.0,"Regular","2013-12-02","2013-12-02",7,10,73.1,17.1,9.8,,,12.2,4.9,13.8,50.4,8.3,0.5,0.1,5.2,0.30,0.00,5.0,1.007,19811,350,3262,3352,1057,19,385,102,387958,20,2434,135,4.1,4.7,0.02,,,0.0,0.0,0.0,0.0,4.9,,,,,3.1,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",56.0,105.0,80.5,"NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"d2474ed6-e9e6-4a41-a38f-3c5db7a8c7de","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_A","7_MLBS_PIT1_BIOGEO_6-39_A","A",1.0,"Regular","2013-12-02","2013-12-02",5,4,78.8,14.6,6.6,,,11.1,3.5,12.1,51.7,14.1,0.8,0.1,32.7,1.80,0.00,33.0,1.011,10660,264,1729,1740,532,13,251,283,378511,15,2031,127,3.6,4.3,0.05,,,0.0,0.0,0.1,0.0,14.0,99,0.1,1,6.9,6.8,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",11.0,44.0,27.5,"NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"2f188efe-2e5c-4c10-ad66-9c0345633c3f","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_2CG2","7_MLBS_PIT1_BIOGEO_>160-<200_BIOGEO4","2Cg2",1.0,"Audit","2013-12-02","2013-12-02",3,0,2.8,35.3,61.9,,,30.2,5.1,1.6,1.0,0.1,0.1,0.0,0.7,0.50,0.00,1.0,1.013,102075,348,12717,39005,5866,29,1817,286,256570,80,5329,143,4.0,4.8,0.02,,,0.0,0.2,0.1,0.0,10.2,96,0.3,3,7.1,6.8,,0.2,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",165.0,205.0,185.0,"Soil collected from clods taken during excavation; exact depths unknown (top/bottom depths are min/max possible depths). NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
