uid,domainID,siteID,pitNamedLocation,pitID,horizonID,bulkDensID,horizonName,setDate,collectDate,laboratoryName,labProjID,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensHorizonProportion,bulkDensSampleType,bulkDensExclCoarseFrag,remarks
"3dcf3138-9089-4cd7-b0a5-9af2007cfb7c","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_OE","7_MLBS_PIT1_BULKD_0-3_OE","Oe","2013-12-02","2013-12-02","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",6.5,5.0,8.0,1.0,"Regular",0.9671,"NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"9cbe9a5a-1676-4500-a0d2-ad9da6f0cf17","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_BW1","7_MLBS_PIT1_BULKD_81-91_BG1","Bw1","2013-12-02","2013-12-02","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",91.0,86.0,96.0,1.0,"Regular",1.8844,"NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"90b1bf67-5454-4563-91fb-c178c48f32ae","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_2CG2","7_MLBS_PIT1_BULKD_>160-<200_BULKD2","2Cg2","2013-12-02","2013-12-02","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",185.0,165.0,205.0,1.0,"Audit",1.5059,"Cores collected from clods taken during excavation; exact depths unknown (top/bottom depths are min/max possible depths). NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"46a5c268-6f2a-4fcb-af89-72231c6c6e1e","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_E","7_MLBS_PIT1_BULKD_40-50_E","E","2013-12-02","2013-12-02","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",40.0,45.0,55.0,1.0,"Regular",1.4755,"NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"65c0a1d7-c5c8-4ff3-bc84-3fc1cac732f5","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_2CG2","7_MLBS_PIT1_BULKD_>160-<200_BULKD3","2Cg2","2013-12-02","2013-12-02","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",185.0,165.0,205.0,1.0,"Audit",1.6210,"Cores collected from clods taken during excavation; exact depths unknown (top/bottom depths are min/max possible depths). NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"4a0f6bdf-39c5-4df2-ba64-c13c519cd0aa","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_2C1","7_MLBS_PIT1_BULKD_145-148_2C1","2C1","2013-12-02","2013-12-02","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",151.5,150.0,153.0,1.0,"Regular",1.6625,"NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"2808f983-71a9-4907-8efe-1166b16c46ae","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_2CG2","7_MLBS_PIT1_BULKD_>160-<200_2C2","2Cg2","2013-12-02","2013-12-02","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",185.0,165.0,205.0,1.0,"Regular",1.6118,"Cores collected from clods taken during excavation; exact depths unknown (top/bottom depths are min/max possible depths). NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"7db5c6fe-496f-48e0-a603-d7f8c0969029","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_OA","7_MLBS_PIT1_BULKD_3-6_OA","Oa","2013-12-02","2013-12-02","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",9.5,8.0,11.0,1.0,"Regular",1.0454,"NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"bf6df0db-c006-49ed-b6ce-6bef81efd2dc","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_BW2","7_MLBS_PIT1_BULKD_100-110_BG2","Bw2","2013-12-02","2013-12-02","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",110.0,105.0,115.0,1.0,"Regular",1.8402,"NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
"eaae6078-9b58-47ea-95fa-d06f5fbf8a32","D07","MLBS","MEGAPT100982","7_MLBS_PIT1","7_MLBS_PIT1_A","7_MLBS_PIT1_BULKD_17-27_A","A","2013-12-02","2013-12-02","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2014USVA020",27.0,22.0,32.0,1.0,"Regular",1.2323,"NRCS first described Oi as +5 to 0; became 0 to 5 after email from Benham (NRCS) to Ayres (7/31/14). Sample depths adjusted"
