uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,archiveID,archiveLaboratoryName,archiveTopDepth,archiveBottomDepth,remarks,sampleMass
"4faeaaf8-8cdf-47c1-96f9-14c192d1342f","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_C2","C2","2012-09-26","2012-09-26","9_DAKOTAC_PIT1_148-165_ARCHIVE_C2","NEON",148.0,165.0,,1202.0
"071e8db0-5644-4c14-8e28-2c29cd5c02c5","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_C1","C1","2012-09-26","2012-09-26","9_DAKOTAC_PIT1_110-148_ARCHIVE_C1","NEON",110.0,148.0,,1201.7
"abd64cc6-8a6d-4558-a5a2-21318708f5a8","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_BK1","Bk1","2012-09-26","2012-09-26","9_DAKOTAC_PIT1_35-55_ARCHIVE_BK1","NEON",35.0,55.0,,1200.1
"55fb3a1d-4cab-44ad-b447-0700af6428a3","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_BK2","Bk2","2012-09-26","2012-09-26","9_DAKOTAC_PIT1_55-92_ARCHIVE_BK2","NEON",55.0,92.0,,1201.3
"268a31c2-b3be-4122-a45d-16f39b413719","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_BC","BC","2012-09-26","2012-09-26","9_DAKOTAC_PIT1_92-110_ARCHIVE_BC","NEON",92.0,110.0,,1200.5
"33409f3e-1330-4c77-94f4-9ba0f3fba4dd","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_BW","Bw","2012-09-26","2012-09-26","9_DAKOTAC_PIT1_26-35_ARCHIVE_BW","NEON",26.0,35.0,,1199.6
"bd320989-95cc-4840-ad4a-0d26bc5a54e1","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_C3","C3","2012-09-26","2012-09-26","9_DAKOTAC_PIT1_165-200_ARCHIVE_C3","NEON",165.0,200.0,,1201.3
"ebb613b6-90e1-4461-bc9a-7c8ea1789648","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_A3","A3","2012-09-26","2012-09-26","9_DAKOTAC_PIT1_18-26_ARCHIVE_A3","NEON",18.0,26.0,,1200.1
"2edc59f9-092a-4ed4-811d-9300072a2aa0","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_A2","A2","2012-09-26","2012-09-26","9_DAKOTAC_PIT1_8-18_ARCHIVE_A2","NEON",8.0,18.0,,1199.7
"739bec05-d4ab-4941-83fb-c6e9ed389f2f","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_A1","A1","2012-09-26","2012-09-26","9_DAKOTAC_PIT1_0-8_ARCHIVE_A1","NEON",0.0,8.0,,1200.1
