uid,domainID,siteID,pitNamedLocation,pitID,horizonID,biogeoID,horizonName,biogeoHorizonProportion,biogeoSampleType,setDate,collectDate,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,sandVeryCoarseContent,carbonTot,nitrogenTot,sulfurTot,estimatedOC,airDryOvenDry,alMjelm,caMjelm,feMjelm,kMjelm,mgMjelm,mnMjelm,naMjelm,pMjelm,siMjelm,srMjelm,tiMjelm,zrMjelm,phCacl2,phH2o,ec12pre,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,laboratoryName,labProjID,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,remarks
"9aa0b8e4-c760-486b-9190-b744ae7d85d8","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_BW","9_DAKOTAC_PIT1_26-35_BIOGEO_BW","Bw",1.0,"Regular","2012-09-26","2012-09-26",16,8,35.7,35.1,29.2,,,20.7,14.4,9.6,14.8,7.8,1.9,1.6,20.6,1.60,0.10,19.0,1.023,56811,11351,25223,15998,7334,1034,9102,491,307366,151,3047,108,6.9,7.6,0.34,,10,23.0,0.9,7.1,0.0,23.0,,31.0,100,,,,,,0.0,6.1,0.5,0.0,0.76,0.3,56.60,6.2,0.3,2.7,0.0,0.0,0.0,0.0,6.9,,0.5,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",26.0,35.0,30.5,
"d4eb0e6b-262e-4a6f-963a-b2700a77df56","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_C2","9_DAKOTAC_PIT1_148-165_BIOGEO_C2","C2",1.0,"Regular","2012-09-26","2012-09-26",87,68,37.0,40.1,22.9,1.0,,27.2,12.9,10.2,15.3,5.6,4.2,1.7,20.1,0.30,0.20,4.0,1.018,53618,41435,21884,14072,16887,948,8247,401,275789,187,2646,87,8.3,9.0,0.35,,140,38.1,0.6,19.9,0.4,15.3,,59.0,100,,,,,,0.0,1.6,0.6,0.0,0.60,0.0,55.00,3.8,0.0,2.9,1.8,0.1,0.0,0.0,8.5,,1.7,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",148.0,165.0,156.5,
"f0f215fc-fd2c-409c-8edd-69c932ee80ae","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_BK1","9_DAKOTAC_PIT1_35-55_BIOGEO_BK1","Bk1",1.0,"Regular","2012-09-26","2012-09-26",39,24,31.2,37.2,31.6,4.3,,26.8,10.4,9.0,11.8,5.3,3.1,2.0,26.6,1.30,0.10,9.0,1.022,52345,48879,22696,13671,12524,709,7630,405,258425,141,2730,89,7.6,8.3,0.26,,140,54.3,0.7,7.9,0.0,19.0,,62.9,100,,,,,,0.0,3.1,0.4,0.0,0.49,0.2,55.20,3.4,0.2,1.5,0.0,0.0,0.0,0.0,7.5,,0.4,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",35.0,55.0,45.0,
"b105384e-9d24-46ea-9d81-8a0c5ad07d93","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_BC","9_DAKOTAC_PIT1_92-110_BIOGEO_BC","BC",1.0,"Regular","2012-09-26","2012-09-26",33,42,27.1,44.1,28.8,3.0,,30.4,13.7,8.9,10.9,3.9,2.3,1.1,22.6,0.40,0.20,4.0,1.022,51223,49727,23194,13837,18287,668,6979,469,256699,167,2791,95,8.2,8.9,0.26,,160,46.3,0.5,21.5,0.3,17.6,,68.6,100,,,,,,0.0,1.6,0.5,0.0,0.43,0.1,57.80,3.4,0.0,2.7,0.0,0.0,0.0,0.0,8.3,,0.4,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",92.0,110.0,101.0,
"2038896a-32b8-4cf2-9ecb-9c2dc81b7b52","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_C1","9_DAKOTAC_PIT1_110-148_BIOGEO_C1","C1",1.0,"Regular","2012-09-26","2012-09-26",106,67,32.5,41.6,25.9,1.5,,23.6,18.0,7.2,14.0,6.2,3.4,1.7,20.8,0.40,0.20,4.0,1.021,48874,42479,21595,13480,17423,860,7396,435,260271,170,2545,86,8.3,9.2,0.31,,140,41.8,0.6,21.5,0.3,16.9,,64.2,100,,,,,,0.0,1.6,0.5,0.0,0.50,0.0,61.40,3.7,0.0,2.6,0.8,0.0,0.0,0.0,8.4,,0.9,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",110.0,148.0,129.0,
"e10d39e7-b102-4c92-80e1-dac6047a241d","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_BK2","9_DAKOTAC_PIT1_55-92_BIOGEO_BK2","Bk2",1.0,"Regular","2012-09-26","2012-09-26",55,35,32.2,39.3,28.5,3.7,,26.4,12.9,9.9,11.1,7.0,2.5,1.7,23.7,0.60,0.30,5.0,1.021,53834,54527,23826,14419,16519,685,8503,508,271936,181,2819,99,7.9,8.5,0.25,,160,51.3,0.6,12.9,0.0,17.1,,64.8,100,,,,,,0.0,2.8,1.0,0.0,0.44,0.1,51.10,2.8,0.1,2.1,0.0,0.1,0.1,0.0,7.9,,0.3,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",55.0,92.0,73.5,
"4d787f6c-1f0c-4f19-a194-ce0afdbc66dc","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_C3","9_DAKOTAC_PIT1_165-200_BIOGEO_C3","C3",1.0,"Regular","2012-09-26","2012-09-26",52,42,33.7,44.1,22.2,1.5,,31.6,12.5,9.4,11.4,8.1,2.6,2.2,19.6,0.40,0.30,13.0,1.020,52247,39819,23196,14842,17409,874,8125,487,281608,179,2806,90,8.3,8.9,0.43,,50,40.6,0.7,19.2,1.1,16.5,,61.6,100,,,,,,0.0,1.8,1.3,0.0,0.85,0.1,59.00,3.3,0.1,4.2,3.0,0.1,0.0,0.0,8.4,,4.6,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",165.0,200.0,182.5,
"9e83c61c-1fa9-413a-a07d-333ff11aa637","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_A1","9_DAKOTAC_PIT1_0-8_BIOGEO_A1","A1",1.0,"Regular","2012-09-26","2012-09-26",28,27,29.3,38.4,32.3,,,24.8,13.6,8.8,11.1,4.5,2.6,2.3,70.9,5.90,0.40,70.0,1.028,49597,10920,23372,14974,5970,940,7798,846,270561,129,2755,104,6.3,7.0,0.32,,0,26.2,2.2,7.9,0.0,36.5,,36.3,99,,,,,,0.0,4.5,0.6,0.0,0.71,1.9,93.20,3.9,1.2,2.5,0.0,0.1,0.0,0.0,6.4,,0.5,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",0.0,8.0,4.0,
"b6f048a0-44eb-4019-b414-0d6661b0d1a7","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_A3","9_DAKOTAC_PIT1_18-26_BIOGEO_A3","A3",1.0,"Regular","2012-09-26","2012-09-26",13,5,33.4,34.6,32.0,,,19.3,15.3,10.3,12.5,7.6,1.6,1.4,16.4,1.80,0.10,16.0,1.024,60437,8269,27624,15847,7085,986,8508,457,284300,131,3189,123,6.1,7.0,0.12,,10,16.3,1.1,6.3,0.0,24.1,,23.7,98,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",18.0,26.0,22.0,
"1d445ca0-fa9f-43ea-97ea-96c39e212e20","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_A2","9_DAKOTAC_PIT1_8-18_BIOGEO_A2","A2",1.0,"Regular","2012-09-26","2012-09-26",12,4,33.6,29.8,36.6,,,19.3,10.5,10.1,13.3,7.5,2.1,0.6,25.3,2.50,0.20,25.0,1.025,60339,8922,28771,16345,7354,806,8542,500,297102,139,3099,115,6.0,7.0,0.16,,0,18.3,1.6,7.0,0.0,27.0,,26.9,100,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",8.0,18.0,13.0,
