uid,domainID,siteID,pitNamedLocation,pitID,horizonID,bulkDensID,horizonName,setDate,collectDate,laboratoryName,labProjID,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensHorizonProportion,bulkDensSampleType,bulkDensExclCoarseFrag,remarks
"f6a47005-8afe-4932-a0ef-225db5e80e5d","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_BC","9_DAKOTAC_PIT1_96-106_BULKD_BC","BC","2012-09-26","2012-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",101.0,96.0,106.0,1.0,"Regular",1.3970,
"f0edac16-24c3-4511-8a0a-7f20e7be79b1","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_C1","9_DAKOTAC_PIT1_116-126_BULKD_C1","C1","2012-09-26","2012-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",121.0,116.0,126.0,1.0,"Regular",1.2261,
"1a17c6d2-7cd0-4e04-b425-b450121fa77a","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_BK2","9_DAKOTAC_PIT1_63-73_BULKD_BK2","Bk2","2012-09-26","2012-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",68.0,63.0,73.0,1.0,"Regular",1.3460,
"351ded38-a118-4e59-a04f-897b3d37fe16","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_C3","9_DAKOTAC_PIT1_170-180_BULKD_C3","C3","2012-09-26","2012-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",175.0,170.0,180.0,1.0,"Regular",1.4331,
"eb3ac20f-f397-4a53-857b-869fc6c90fee","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_BK1","9_DAKOTAC_PIT1_36-46_BULKD_BK1","Bk1","2012-09-26","2012-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",41.0,36.0,46.0,1.0,"Regular",1.3825,
"162fd6c3-7719-4136-abfd-38ec8094b73e","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_C2","9_DAKOTAC_PIT1_155-165_BULKD_C2","C2","2012-09-26","2012-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",160.0,155.0,165.0,1.0,"Regular",1.3544,
"d6997894-0a38-4414-a3e4-2890760f7283","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_BW","9_DAKOTAC_PIT1_26-35_BULKD_BW","Bw","2012-09-26","2012-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",30.5,26.0,35.0,1.0,"Regular",1.2984,
"1a9b5731-b527-4fd6-8430-5b4b2889050c","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_A1","9_DAKOTAC_PIT1_0-8_BULKD_A1","A1","2012-09-26","2012-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",4.0,0.0,8.0,1.0,"Regular",0.7419,
"f142308a-353c-47ce-b1a0-a295b4b3868e","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_A2","9_DAKOTAC_PIT1_8-18_BULKD_A2","A2","2012-09-26","2012-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",13.0,8.0,18.0,1.0,"Regular",1.1909,
"92e657a1-3592-4941-8821-9a1f60779303","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_A3","9_DAKOTAC_PIT1_18-26_BULKD_A3","A3","2012-09-26","2012-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND001",22.0,18.0,26.0,1.0,"Regular",1.1169,
