uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,horizonTopDepth,horizonBottomDepth,nrcsDescriptionID,remarks
"cc12aaa9-e2cf-4da1-b521-4edc98fb5e6b","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_BK2","Bk2","2012-09-26","2012-09-26",55.0,92.0,"12ND093002",
"7e4a3917-bdf9-4482-b173-12d8eb2189e8","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_A1","A1","2012-09-26","2012-09-26",0.0,8.0,"12ND093002",
"d16ac313-5eeb-451c-8ead-bff850ef6e2e","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_C3","C3","2012-09-26","2012-09-26",165.0,200.0,"12ND093002",
"d3eccc36-8ee3-4c8b-bd4e-ca793b420ac0","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_C1","C1","2012-09-26","2012-09-26",110.0,148.0,"12ND093002",
"cd601b72-f839-4ab3-95cc-1b9041e15c80","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_BK1","Bk1","2012-09-26","2012-09-26",35.0,55.0,"12ND093002",
"a50e401b-b3c5-4057-91de-954611deb1a3","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_BW","Bw","2012-09-26","2012-09-26",26.0,35.0,"12ND093002",
"bf5116be-e383-440e-a622-d9f5fdc2c9fe","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_A2","A2","2012-09-26","2012-09-26",8.0,18.0,"12ND093002",
"aca3cf35-4e54-4b2c-b693-d005fc653a93","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_A3","A3","2012-09-26","2012-09-26",18.0,26.0,"12ND093002",
"073ea6ce-fbd6-4e83-b1fe-a52d47e13b21","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_C2","C2","2012-09-26","2012-09-26",148.0,165.0,"12ND093002",
"10c6085a-7d90-469d-8479-9374633e25e0","D09","DCFS","MEGAPT100968","9_DAKOTAC_PIT1","9_DAKOTAC_PIT1_BC","BC","2012-09-26","2012-09-26",92.0,110.0,"12ND093002",
