uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,archiveID,archiveLaboratoryName,archiveTopDepth,archiveBottomDepth,remarks,sampleMass
"50159677-93a5-4c22-a429-afd310538452","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_C","C","2013-07-08","2013-07-08",,,,,,
"7987dbb5-d87c-4e44-a767-8821ced43934","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BK","Bk","2013-07-08","2013-07-08","9_NGPRL_PIT1_145-182_ARCHIVE_BK","NEON",145.0,182.0,,2899.3
"0295780c-bbcd-406d-92b8-56071191212f","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_C","C","2013-07-08","2013-07-08","9_NGPRL_PIT1_182-200_ARCHIVE_C","NEON",182.0,200.0,,3066.3
"f041b93e-21d6-4ae1-a72d-f071da545537","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BTK2","Btk2","2013-07-08","2013-07-08","9_NGPRL_PIT1_112-145_ARCHIVE_BTK2","NEON",112.0,145.0,,3604.3
"ee938605-1997-46f9-a8c7-b91791897e55","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BT3","Bt3","2013-07-08","2013-07-08","9_NGPRL_PIT1_64-84_ARCHIVE_BT3","NEON",64.0,84.0,,3398.1
"e0476856-cd26-4cbd-8d67-9384e19eb121","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BTK1","Btk1","2013-07-08","2013-07-08","9_NGPRL_PIT1_84-112_ARCHIVE_BTK1","NEON",84.0,112.0,,3605.6
"a43ccb33-5c74-45ba-a5a8-2e42bfdf0e20","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_A2","A2","2013-07-08","2013-07-08","9_NGPRL_PIT1_4-11_ARCHIVE_A2","NEON",4.0,11.0,,3071.0
"443ed456-a560-45d4-b160-eafdcd9e46c7","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_A3","A3","2013-07-08","2013-07-08","9_NGPRL_PIT1_11-31_ARCHIVE_A3","NEON",11.0,31.0,,3604.7
"150092c3-a1d6-448d-84f3-0eefbf1a2a61","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_A1","A1","2013-07-08","2013-07-08","9_NGPRL_PIT1_0-4_ARCHIVE_A1","NEON",0.0,4.0,,2133.3
"2452d967-d399-49d9-9880-bf7f551d5501","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BT1","Bt1","2013-07-08","2013-07-08","9_NGPRL_PIT1_31-46_ARCHIVE_BT1","NEON",31.0,46.0,,3605.4
"ec7aea8d-7bea-42b8-9c92-a205868a5305","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BT2","Bt2","2013-07-08","2013-07-08","9_NGPRL_PIT1_46-64_ARCHIVE_BT2","NEON",46.0,64.0,,3393.4
