uid,domainID,siteID,pitNamedLocation,pitID,horizonID,biogeoID,horizonName,biogeoHorizonProportion,biogeoSampleType,setDate,collectDate,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,sandVeryCoarseContent,carbonTot,nitrogenTot,sulfurTot,estimatedOC,airDryOvenDry,alMjelm,caMjelm,feMjelm,kMjelm,mgMjelm,mnMjelm,naMjelm,pMjelm,siMjelm,srMjelm,tiMjelm,zrMjelm,phCacl2,phH2o,ec12pre,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,laboratoryName,labProjID,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,remarks
"739685d9-6d1d-41aa-9875-d4f59aa22681","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BTK1","9_NGPRL_PIT1_84-112_BIOGEO_BTK1","Btk1",1.0,"Regular","2013-07-08","2013-07-08",8,0,25.6,44.4,30.0,2.8,,28.8,15.6,11.7,11.4,2.2,0.2,0.1,18.1,0.50,0.10,5.0,1.047,63668,45328,30035,17170,16226,421,10176,668,294103,234,3213,98,7.9,8.7,0.25,,110,55.1,0.5,13.5,0.0,21.5,,69.1,100,,,,,,0.0,2.0,0.9,0.0,0.46,0.0,59.70,2.9,0.1,2.2,0.0,0.1,0.0,0.0,8.0,,0.2,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",84.0,112.0,98.0,
"6595e955-3ed9-40eb-8990-a10359890bfa","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BTK2","9_NGPRL_PIT1_112-145_BIOGEO_BTK2","Btk2",1.0,"Regular","2013-07-08","2013-07-08",102,4,28.7,43.0,28.3,1.4,,27.2,15.8,13.2,12.7,2.3,0.4,0.1,13.9,0.00,0.00,4.0,1.047,64872,33624,28910,18128,16746,412,11069,584,289951,260,3196,93,8.1,8.9,0.26,,90,51.8,0.6,18.2,0.4,21.6,,71.0,100,,,,,,0.0,1.3,0.5,0.0,0.45,0.0,61.60,3.3,0.1,1.9,0.5,0.1,0.0,0.0,8.2,,0.2,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",112.0,145.0,128.5,
"416fcee8-6354-4fc6-8b55-ec785950798d","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_A2","9_NGPRL_PIT1_4-11_BIOGEO_A2","A2",1.0,"Regular","2013-07-08","2013-07-08",0,0,17.2,57.4,25.4,,,29.1,28.3,11.4,4.3,1.1,0.3,0.1,47.8,4.60,0.60,48.0,1.042,56299,8563,23406,18314,6382,611,9579,742,301460,170,3469,140,5.9,6.9,0.18,,,19.3,2.0,6.5,0.0,27.9,,27.8,100,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",4.0,11.0,7.5,
"141cd3f1-f0ec-4a43-9110-d0ced37c595f","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BK","9_NGPRL_PIT1_145-182_BIOGEO_BK","Bk",1.0,"Regular","2013-07-08","2013-07-08",14,0,30.5,45.0,24.5,0.0,,28.6,16.4,14.0,14.1,1.6,0.6,0.2,11.2,0.20,0.00,3.0,1.047,66231,26379,31133,17988,16353,430,11453,694,290952,266,3302,101,8.2,9.0,0.32,,70,40.7,0.6,19.3,1.2,22.3,,61.8,100,,,,,,0.0,1.1,0.2,0.0,0.54,0.0,68.30,4.2,0.1,1.6,2.2,0.1,0.0,0.0,8.3,,1.0,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",145.0,182.0,163.5,
"6bc1ed9a-9c10-4977-b7b3-fc5a56669e09","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_C","9_NGPRL_PIT1_?-?_BIOGEO_X","C",1.0,"Audit","2013-07-08","2013-07-08",141,16,30.5,46.1,23.4,0.8,,29.4,16.7,12.1,14.6,3.2,0.6,0.0,9.9,0.00,0.20,3.0,1.047,68312,22355,30269,18366,16128,435,11830,689,292403,253,3360,96,8.2,9.2,0.33,,60,35.0,0.7,19.7,1.9,21.9,,57.3,100,,,,,,0.0,1.0,0.2,0.0,0.53,0.0,71.10,3.6,0.1,1.2,2.8,0.1,0.0,0.0,8.4,,1.0,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",182.0,200.0,191.0,
"961b1b1c-8b53-4ad5-90a7-98427901033e","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BT3","9_NGPRL_PIT1_64-84_BIOGEO_BT3","Bt3",1.0,"Regular","2013-07-08","2013-07-08",18,6,29.2,41.8,29.0,0.8,,25.0,16.8,15.8,10.0,2.8,0.4,0.2,10.1,0.20,0.10,6.0,1.048,67596,18913,31324,18678,12833,545,10765,689,356241,215,3516,114,7.8,8.4,0.23,,30,45.1,0.5,13.1,0.0,23.4,,58.7,100,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",64.0,84.0,74.0,
"6c1cb7bd-3da7-46f2-aecf-6e447a4f6b35","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_A1","9_NGPRL_PIT1_0-4_BIOGEO_A1","A1",1.0,"Regular","2013-07-08","2013-07-08",0,0,17.2,56.8,26.0,,,29.6,27.2,11.2,5.0,0.4,0.4,0.2,62.9,5.40,0.70,63.0,1.046,51834,8592,21722,17132,6097,582,8758,769,279163,158,3168,114,6.5,7.2,0.52,0,,21.1,3.0,7.5,0.0,29.9,,31.6,100,,,,,,0.0,6.9,1.7,0.0,1.24,0.1,89.80,7.6,2.6,4.8,0.0,0.1,0.0,0.0,6.5,,0.7,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",0.0,4.0,2.0,
"fab0a352-144e-4c27-8644-8979422fbc65","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BT2","9_NGPRL_PIT1_46-64_BIOGEO_BT2","Bt2",1.0,"Regular","2013-07-08","2013-07-08",6,1,22.3,51.2,26.5,,,23.0,28.2,15.3,6.3,0.4,0.2,0.1,10.3,0.70,0.10,10.0,1.041,59416,7863,28893,19051,8950,573,9003,674,568365,153,3576,119,6.7,7.7,0.08,,,13.6,0.5,9.3,0.0,20.9,,23.4,100,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",46.0,64.0,55.0,
"ef8f5086-62cc-45ec-a960-4d67eb6f10c5","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_A3","9_NGPRL_PIT1_11-31_BIOGEO_A3","A3",1.0,"Regular","2013-07-08","2013-07-08",0,0,17.8,57.8,24.4,,,27.1,30.7,11.3,5.0,1.3,0.2,0.0,27.0,3.00,0.40,27.0,1.037,59307,7940,24822,18819,6466,590,10186,636,310374,177,3650,140,5.9,6.9,0.10,,,16.4,1.3,6.2,0.0,23.5,,23.9,100,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",11.0,31.0,21.0,
"9b8fc42c-99b2-4fe5-af17-721063f3fcea","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_C","9_NGPRL_PIT1_182-200_BIOGEO_C","C",1.0,"Regular","2013-07-08","2013-07-08",67,16,31.2,44.9,23.9,0.0,,29.1,15.8,14.5,13.1,3.3,0.3,0.0,10.0,0.10,0.20,3.0,1.046,68340,21852,30596,17399,16429,441,11883,696,292829,255,3370,101,8.3,9.1,0.32,,60,36.5,0.7,19.9,1.9,21.4,,59.0,100,,,,,,0.0,0.9,0.2,0.0,0.51,0.0,71.00,3.5,0.1,1.1,2.6,0.1,0.0,0.0,8.4,,1.0,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",182.0,200.0,191.0,
