uid,domainID,siteID,pitNamedLocation,pitID,horizonID,bulkDensID,horizonName,setDate,collectDate,laboratoryName,labProjID,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensHorizonProportion,bulkDensSampleType,bulkDensExclCoarseFrag,remarks
"0e4aadac-2640-425c-b496-ee0cbce0cd89","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_A3","9_NGPRL_PIT1_19-29_BULKD_A3","A3","2013-07-08","2013-07-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",24.0,19.0,29.0,1.0,"Regular",1.0776,
"cddcfd09-22c2-426f-bbe1-a4e4e122fb4c","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BT3","9_NGPRL_PIT1_70-80_BULKD_BT3","Bt3","2013-07-08","2013-07-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",75.0,70.0,80.0,1.0,"Regular",1.2323,
"506e8527-b818-474f-baad-6cead82f5d56","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BK","9_NGPRL_PIT1_150-160_BULKD_BK","Bk","2013-07-08","2013-07-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",155.0,150.0,160.0,1.0,"Regular",1.0997,
"f4f5d8e3-6687-495b-92ea-f3218f9e221b","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_C","9_NGPRL_PIT1_183-193_BULKD_C","C","2013-07-08","2013-07-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",188.0,183.0,193.0,1.0,"Regular",1.3484,
"0752d13d-47aa-430a-94a8-dd6a0bdc4f40","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_C","9_NGPRL_PIT1_?-?_BULKD_X","C","2013-07-08","2013-07-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",188.0,183.0,193.0,1.0,"Audit",1.2710,
"c18a9e78-24a2-4aee-9d03-0cbe08d545f8","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_A1","9_NGPRL_PIT1_0-4_BULKD_A1","A1","2013-07-08","2013-07-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",1.5,0.0,3.0,1.0,"Regular",0.3960,
"0d4d95b6-75fc-4c96-8cd1-fa3cbac32931","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BTK2","9_NGPRL_PIT1_114-124_BULKD_BTK2","Btk2","2013-07-08","2013-07-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",119.0,114.0,124.0,1.0,"Regular",1.3429,
"424345d6-357a-4817-b4fa-aec9d083a052","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BT1","9_NGPRL_PIT1_33-43_BULKD_BT1","Bt1","2013-07-08","2013-07-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",38.0,33.0,43.0,1.0,"Regular",1.3650,
"a6827e59-6b09-465c-ac0c-15dc1f25a3b1","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BT2","9_NGPRL_PIT1_50-60_BULKD_BT2","Bt2","2013-07-08","2013-07-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",55.0,50.0,60.0,1.0,"Regular",1.3429,
"3a840e75-b55d-4486-88cf-d8921eff11c5","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_A2","9_NGPRL_PIT1_4-7_BULKD_A2","A2","2013-07-08","2013-07-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",5.5,4.0,7.0,1.0,"Regular",0.7368,
"3e0ecb3d-919e-45b1-b26e-75cd497ae65d","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BTK1","9_NGPRL_PIT1_90-100_BULKD_BTK1","Btk1","2013-07-08","2013-07-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USND103",95.0,90.0,100.0,1.0,"Regular",1.3318,
