uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,horizonTopDepth,horizonBottomDepth,nrcsDescriptionID,remarks
"48705512-6d26-4fe0-b7e6-24e519933546","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BT2","Bt2","2013-07-08","2013-07-08",46.0,64.0,"S2013ND059-001",
"63d32f81-cc3a-47b8-8167-0a93338422c8","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BT1","Bt1","2013-07-08","2013-07-08",31.0,46.0,"S2013ND059-001",
"ac83ea5d-4b03-4630-bb69-894e209722fb","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_A1","A1","2013-07-08","2013-07-08",0.0,4.0,"S2013ND059-001",
"b235255a-8497-47c3-87bf-47472897b39e","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BT3","Bt3","2013-07-08","2013-07-08",64.0,84.0,"S2013ND059-001",
"4588ea53-28bf-45bd-bde4-633b19fa2445","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_A3","A3","2013-07-08","2013-07-08",11.0,31.0,"S2013ND059-001",
"daf8f305-f1f0-4758-b64a-0dab68f85362","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BK","Bk","2013-07-08","2013-07-08",145.0,182.0,"S2013ND059-001",
"bb3b2051-c0de-4c1b-9195-fe27f3d31904","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BTK2","Btk2","2013-07-08","2013-07-08",112.0,145.0,"S2013ND059-001",
"2bb074be-728c-4541-b5b4-4a899abc470e","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_C","C","2013-07-08","2013-07-08",182.0,200.0,"S2013ND059-001",
"c0f022f3-5e79-47ea-a673-3a319b8fbac1","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_BTK1","Btk1","2013-07-08","2013-07-08",84.0,112.0,"S2013ND059-001",
"bfbbc742-7ce0-4bba-baae-ab2de0c0f5fe","D09","NOGP","MEGAPT100985","9_NGPRL_PIT1","9_NGPRL_PIT1_A2","A2","2013-07-08","2013-07-08",4.0,11.0,"S2013ND059-001",
