uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,archiveID,archiveLaboratoryName,archiveTopDepth,archiveBottomDepth,remarks,sampleMass
"618b750c-2757-4b12-a0c3-881c19144dbf","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC","Ac","2017-09-26","2017-09-26",,,,,,
"603f2d8e-88a6-4219-a570-8c9ee6387754","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_3CG","3Cg","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_178-200_3CG","NEON",178.0,200.0,,2757.5
"3c603c05-ca90-4e7a-a214-ac22103dd19f","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_3AB","3AB","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_162-178_3AB","NEON",162.0,178.0,,2909.5
"3ed96547-e8b1-4f74-9647-4c3168870510","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_OI","Oi","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_0-3_OI","NEON",0.0,3.0,,1723.1
"9d83a7ab-5e34-4726-bff1-50e8609c97ed","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC","Ac","2017-09-26","2017-09-26",,,,,,
"dbdce761-d4f0-48c6-bd5b-37cc350a74a4","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC","Ac","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_9-50_AC","NEON",9.0,50.0,,3600.2
"cb228aff-313e-4bd7-be31-a2c7d12223f4","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_2C2","2C2","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_136-162_2C2","NEON",136.0,162.0,,2649.0
"8e52a10d-ce44-48dd-a17d-f990a50004a9","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_BC","BC","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_80-94_BC","NEON",80.0,94.0,,3081.2
"dc0919c6-9dba-4733-8078-ae3d6f51a538","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_2C1","2C1","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_94-136_2C1","NEON",94.0,136.0,,2636.6
"650761df-43d3-43bc-be7c-1a23df3967fa","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_OA","Oa","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_3-9_OA","NEON",3.0,9.0,,2083.7
"387ab61c-6304-4b56-888b-3e30a94ac43e","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC","Ac","2017-09-26","2017-09-26",,,,,,
"f0e01552-08d2-461c-82d2-8305b282952d","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC","Ac","2017-09-26","2017-09-26",,,,,,
"cc16a67d-266c-40c4-a7c2-05cdf6b17d06","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_BW","Bw","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_50-80_BW","NEON",50.0,80.0,,3116.9
