uid,domainID,siteID,pitNamedLocation,pitID,horizonID,biogeoID,horizonName,biogeoHorizonProportion,biogeoSampleType,setDate,collectDate,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,sandVeryCoarseContent,carbonTot,nitrogenTot,sulfurTot,estimatedOC,airDryOvenDry,alMjelm,caMjelm,feMjelm,kMjelm,mgMjelm,mnMjelm,naMjelm,pMjelm,siMjelm,srMjelm,tiMjelm,zrMjelm,phCacl2,phH2o,ec12pre,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,laboratoryName,labProjID,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,remarks
"21a6c9f0-02b4-4502-91e2-60a1fcfa9007","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_OI","D16_WREF_PIT1_BIOGEO_0-3_OI","Oi",1.0,"Regular","2017-09-26","2017-09-26",0,0,,,,,,,,,,,,,555.1,12.20,0.90,555.0,1.089,4703,4832,2125,1825,840,717,853,949,14836,41,309,5,3.5,4.1,1.88,0,,16.2,2.6,3.4,0.1,80.3,6,22.4,28,23.8,1.4,,621.2,,0.0,1.2,0.6,0.0,0.60,0.8,634.70,0.0,1.7,0.6,0.5,0.0,0.0,4.3,4.0,,0.0,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",0.0,3.0,1.5,
"2b8eb18e-b1e4-4657-b362-24952e839c7d","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_BW","D16_WREF_PIT1_BIOGEO_50-80_BW","Bw",1.0,"Regular","2017-09-26","2017-09-26",67,0,45.7,41.2,13.1,,,28.0,13.2,8.5,10.9,14.7,8.9,2.7,12.3,1.00,0.30,12.0,1.030,84089,13345,44390,8834,7461,494,18135,656,231747,273,6039,107,4.9,5.5,0.02,,,0.0,0.2,0.0,0.0,11.7,85,0.2,2,1.3,1.1,,4.8,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",50.0,80.0,65.0,
"9b923871-db7a-44e6-80ec-34266e3086e8","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_OA","D16_WREF_PIT1_BIOGEO_3-9_OA","Oa",1.0,"Regular","2017-09-26","2017-09-26",0,0,,,,,,,,,,,,,518.5,14.20,1.30,519.0,1.093,11466,4720,4954,2209,1237,261,2381,1001,34632,67,761,15,3.1,3.8,1.40,0,,10.1,1.7,2.3,0.2,100.3,30,14.3,14,20.5,6.2,,178.1,,0.0,0.8,0.8,0.0,0.57,1.5,422.60,0.0,1.3,0.4,0.7,0.0,0.0,2.1,3.7,,0.4,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",3.0,9.0,6.0,
"d4247a7c-9f92-43c3-9dcc-11054ad5d115","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_2C1","D16_WREF_PIT1_BIOGEO_94-136_2C1","2C1",1.0,"Regular","2017-09-26","2017-09-26",3,0,78.1,16.0,5.9,,,12.9,3.1,6.9,15.8,26.0,24.4,5.0,4.4,0.60,0.90,4.0,1.041,91560,20917,36740,5076,6558,462,27869,545,259123,437,5271,64,5.9,5.7,0.02,,,0.0,0.1,0.0,0.0,8.1,,0.1,1,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",94.0,136.0,115.0,
"a8100e56-fc94-43c4-81f4-a07c64e01510","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_3AB","D16_WREF_PIT1_BIOGEO_162-178_3AB","3AB",1.0,"Regular","2017-09-26","2017-09-26",3,0,86.6,12.1,1.3,,,9.4,2.7,7.5,26.5,39.6,11.9,1.1,4.7,0.50,0.50,5.0,1.031,116810,28790,27903,6645,7050,426,30605,400,268288,516,4262,36,5.9,5.7,0.02,,,0.0,0.0,0.0,0.0,5.5,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",162.0,178.0,170.0,
"2f8686a9-44c7-4636-ace6-28540537dbf0","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_BC","D16_WREF_PIT1_BIOGEO_80-94_BC","BC",1.0,"Regular","2017-09-26","2017-09-26",6,0,54.8,35.6,9.6,,,25.6,10.0,8.5,13.1,17.4,12.2,3.6,5.4,0.80,0.70,5.0,1.039,100758,16630,46661,9019,8756,485,21164,561,256446,328,6071,106,5.5,5.8,0.01,,,0.0,0.1,0.0,0.0,10.1,,0.1,1,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",80.0,94.0,87.0,
"2fed3b29-2554-42b1-9dea-3ed3212c271d","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC","D16_WREF_PIT1_BIOGEO_BIOGEO2","Ac",1.0,"Audit","2017-09-26","2017-09-26",10,0,45.1,39.9,15.0,,,26.5,13.4,8.1,9.7,13.0,9.9,4.4,14.8,1.10,0.10,15.0,1.026,104489,16126,48523,9758,8860,590,19794,961,244628,318,6450,120,4.8,5.3,0.02,,,0.0,0.2,0.0,0.0,12.7,86,0.2,2,1.4,1.2,,7.1,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",9.0,50.0,29.5,
"a5a302e5-818c-4235-b4e7-ca51aba7a8c4","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC","D16_WREF_PIT1_BIOGEO_BIOGEO4","Ac",1.0,"Audit","2017-09-26","2017-09-26",20,1,46.9,39.0,14.1,,,25.8,13.2,7.7,10.7,12.8,10.1,5.6,16.0,1.10,0.10,16.0,1.032,84029,14217,46999,9113,6931,563,18755,1025,237402,284,6210,121,4.7,5.3,0.02,,,0.0,0.2,0.0,0.0,12.9,86,0.2,2,1.4,1.2,,6.6,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",9.0,50.0,29.5,
"886ee477-d49c-4e74-81c9-6c93d0c2d224","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_3CG","D16_WREF_PIT1_BIOGEO_178-200_3CG","3Cg",1.0,"Regular","2017-09-26","2017-09-26",6,0,64.5,30.0,5.5,,,21.9,8.1,11.4,15.4,17.5,17.7,2.5,6.0,0.60,0.90,6.0,1.051,98784,16924,33293,7283,6626,362,24686,560,261319,348,4286,60,5.8,5.7,0.02,,,0.0,0.0,0.0,0.0,10.5,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",178.0,200.0,189.0,
"d4d95f8d-2e5d-4682-bbba-2651d99d9d80","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC","D16_WREF_PIT1_BIOGEO_BIOGEO1","Ac",1.0,"Audit","2017-09-26","2017-09-26",111,15,46.5,38.7,14.8,,,26.0,12.7,6.7,10.7,11.6,10.8,6.7,14.4,1.20,0.20,14.0,1.026,93250,15231,43123,9004,8041,528,18637,741,228308,296,6068,106,4.7,5.3,0.02,,,0.0,0.2,0.0,0.0,12.9,86,0.2,2,1.4,1.2,,7.1,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",9.0,50.0,29.5,
