uid,domainID,siteID,pitNamedLocation,pitID,horizonID,bulkDensID,horizonName,setDate,collectDate,laboratoryName,labProjID,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensHorizonProportion,bulkDensSampleType,bulkDensExclCoarseFrag,remarks
"4696294f-7fcc-4f5c-91eb-0c99f9817880","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_3CG","D16_WREF_PIT1_BULKD_180-185_3CG","3Cg","2017-09-26","2017-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",182.5,180.0,185.0,1.0,"Regular",0.7918,
"4338c489-fb67-400d-879e-7dc8373fc814","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC",,"Ac","2017-09-26","2017-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",,,,,,,
"dc55b351-b2be-4de8-8ff0-574310510e59","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC",,"Ac","2017-09-26","2017-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",,,,,,,
"d69aa897-86ac-4ddd-bf58-452f65021ec1","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_OI","D16_WREF_PIT1_BULKD_0-3_OI","Oi","2017-09-26","2017-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",1.5,0.0,3.0,1.0,"Regular",0.0650,
"90473fed-40b4-47ac-a110-09ec807110fc","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_BW","D16_WREF_PIT1_BULKD_62-70_BW","Bw","2017-09-26","2017-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",64.5,62.0,70.0,1.0,"Regular",0.7520,
"7fb44a06-6d31-471f-b3b1-b7330291d42b","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC",,"Ac","2017-09-26","2017-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",,,,,,,
"1f56f2e3-8005-4f88-92b1-9fe324f23b28","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_3AB","D16_WREF_PIT1_BULKD_168-173_3AB","3AB","2017-09-26","2017-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",170.5,168.0,173.0,1.0,"Regular",1.0425,
"f7822d58-15ea-4468-b508-75455ae08b55","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC",,"Ac","2017-09-26","2017-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",,,,,,,
"940d7d61-b54d-4bb8-a708-6f75183bc2f5","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_OA","D16_WREF_PIT1_BULKD_3-6_OA","Oa","2017-09-26","2017-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",4.5,3.0,6.0,1.0,"Regular",0.1044,
"1645f501-0194-459b-a4f0-5df713b9a1b7","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC","D16_WREF_PIT1_BULKD_18-23_AC","Ac","2017-09-26","2017-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",20.5,18.0,23.0,1.0,"Regular",0.7998,
"95256193-9e27-421b-843f-078939944e43","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_2C1","D16_WREF_PIT1_BULKD_104-109_2C1","2C1","2017-09-26","2017-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",106.5,104.0,109.0,1.0,"Regular",0.9231,
"81f14bb0-c5fc-4265-b1d4-bdaa9a264af8","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_BC","D16_WREF_PIT1_BULKD_84-89_BC","BC","2017-09-26","2017-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",88.5,84.0,89.0,1.0,"Regular",0.9868,
"079bfd3e-4483-430a-889c-3d79e5292b36","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_2C2","D16_WREF_PIT1_BULKD_137-142_2C2","2C2","2017-09-26","2017-09-26","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2018USWA008",139.5,137.0,142.0,1.0,"Regular",0.9032,
