uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,archiveID,archiveLaboratoryName,archiveTopDepth,archiveBottomDepth,remarks,sampleMass
"dc322c8e-8e8c-42a6-ac9e-5dd8da05f55f","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_3C7","3C4","2016-08-09","2016-08-09","D17_TEAK_PIT1_ARCHIVE_185-205_3C7","NEON",185.0,205.0,,3600.6
"bb1c0b20-74f1-4ae5-9112-96a7b432379a","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_A","A1","2016-08-09","2016-08-09",,,,,,
"f641519e-edde-4afe-8f5c-d9d94d1e4daf","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_C2","A3","2016-08-09","2016-08-09","D17_TEAK_PIT1_ARCHIVE_67-101_C2","NEON",67.0,101.0,,3600.6
"3fb482fb-7fa5-47f2-bb69-bce33b90cf26","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_A","A1","2016-08-09","2016-08-09","D17_TEAK_PIT1_ARCHIVE_0-19_A","NEON",0.0,19.0,,3600.5
"8acb093b-be85-41fc-aba9-b1790e6731be","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_C1","A2","2016-08-09","2016-08-09","D17_TEAK_PIT1_ARCHIVE_43-67_C1(43-67INCREMENT)","NEON",43.0,67.0,,3601.5
"555d0507-2ad6-4b32-9b88-0930ccde0456","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_A","A1","2016-08-09","2016-08-09",,,,,,
"1d39807c-3f18-4786-91da-80c2c19c9d92","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_3CR","R","2016-08-09","2016-08-09",,,,,,
"2160d836-d464-4f2d-909d-9c263152955a","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_3C5","3C2","2016-08-09","2016-08-09","D17_TEAK_PIT1_ARCHIVE_162-174_3C5","NEON",162.0,174.0,,3600.3
"754125b8-dc68-4d1e-9155-c96fe3affbb0","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_A","A1","2016-08-09","2016-08-09",,,,,,
"1187e786-9099-4c6f-876b-1b2efceb728d","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_C1","A2","2016-08-09","2016-08-09","D17_TEAK_PIT1_ARCHIVE_19-43_C1(19-43INCREMENT)","NEON",19.0,43.0,,3600.7
"4a494d4a-5098-45bd-b9e7-9589587e1496","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_2C4","2C1","2016-08-09","2016-08-09","D17_TEAK_PIT1_ARCHIVE_132-162_2C4","NEON",132.0,162.0,,3600.4
"ae2a27ee-c811-4f50-b9b3-f4faf316b370","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_2C3","2AC","2016-08-09","2016-08-09","D17_TEAK_PIT1_ARCHIVE_101-132_2C3","NEON",101.0,132.0,,3600.3
"8ea19012-dc3b-40c5-8e18-bc5173db1eb5","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_A","A1","2016-08-09","2016-08-09",,,,,,
"df8e53aa-6af1-442e-b868-5a6f41b375c5","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_3C6","3C3","2016-08-09","2016-08-09","D17_TEAK_PIT1_ARCHIVE_174-185_3C6","NEON",174.0,185.0,,3600.3
