uid,domainID,siteID,pitNamedLocation,pitID,horizonID,biogeoID,horizonName,biogeoHorizonProportion,biogeoSampleType,setDate,collectDate,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,sandVeryCoarseContent,carbonTot,nitrogenTot,sulfurTot,estimatedOC,airDryOvenDry,alMjelm,caMjelm,feMjelm,kMjelm,mgMjelm,mnMjelm,naMjelm,pMjelm,siMjelm,srMjelm,tiMjelm,zrMjelm,phCacl2,phH2o,ec12pre,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,laboratoryName,labProjID,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,remarks
"5c9e3626-1ced-4b86-bfd9-d9ed8b683318","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_3C5","D17_TEAK_PIT1_BIOGEO_162-174_3C5","3C2",1.0,"Regular","2016-08-09","2016-08-09",91,102,77.0,18.4,4.6,,,9.4,9.0,12.7,21.0,22.5,14.0,6.8,5.2,0.20,0.00,5.0,1.008,50922,18143,27671,15747,4210,489,15508,418,274834,204,3474,19,5.0,5.2,0.08,,,0.4,0.0,0.0,0.0,4.0,67,0.4,10,1.2,0.8,,0.1,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",162.0,174.0,168.0,
"2118a85d-38f1-4f15-8a66-7aa72929340e","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_3C7","D17_TEAK_PIT1_BIOGEO_185-205_3C7","3C4",1.0,"Regular","2016-08-09","2016-08-09",103,231,82.1,16.2,1.7,,,6.6,9.6,13.3,25.0,22.7,14.4,6.7,2.2,0.20,0.00,2.0,1.005,47748,19455,25271,16205,3469,446,17712,560,288963,227,3103,26,5.2,5.5,0.03,,,0.3,0.0,0.0,0.0,1.9,,0.3,16,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",185.0,205.0,195.0,
"b117265e-0e3d-45eb-bcaa-28003b642418","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_C1","D17_TEAK_PIT1_BIOGEO_43-67_C1(43-67INCREMENT)","A2",0.5,"Regular","2016-08-09","2016-08-09",75,67,79.2,18.2,2.6,,,8.8,9.4,13.5,21.2,20.6,13.3,10.6,30.0,1.50,0.00,30.0,1.014,60129,19625,27608,19056,5704,548,16810,582,296677,233,3428,32,4.9,5.2,0.11,,,0.6,0.2,0.0,0.0,10.6,58,0.8,8,1.9,1.1,,0.2,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",43.0,67.0,55.0,
"0f6a135b-7000-4607-a773-1e9f599276fa","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_3C6","D17_TEAK_PIT1_BIOGEO_174-185_3C6","3C3",1.0,"Regular","2016-08-09","2016-08-09",89,166,81.3,15.4,3.3,,,8.0,7.4,11.3,21.2,21.6,17.5,9.7,3.0,0.50,0.00,3.0,1.007,48120,16274,33070,15969,3440,536,17829,576,298924,206,4127,40,5.1,5.5,0.02,,,0.4,0.0,0.0,0.0,3.0,64,0.4,13,1.1,0.7,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",174.0,185.0,179.5,
"e4b00b27-4bbc-492b-8f68-844e8dcdef15","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_C2","D17_TEAK_PIT1_BIOGEO_67-101_C2","A3",1.0,"Regular","2016-08-09","2016-08-09",81,127,79.1,18.4,2.5,,,8.7,9.7,14.2,24.2,20.0,14.2,6.5,20.4,1.10,0.00,20.0,1.012,55117,16683,24181,16850,4143,455,15035,663,275222,208,3042,23,5.1,5.4,0.11,,,0.6,0.1,0.0,0.0,8.1,50,0.7,9,1.4,0.7,,0.2,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",67.0,101.0,84.0,
"82bded80-825b-4826-b3cc-cc1cee2ee7ce","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_2C3","D17_TEAK_PIT1_BIOGEO_101-132_2C3","2AC",1.0,"Regular","2016-08-09","2016-08-09",99,309,79.0,18.7,2.3,,,8.2,10.5,13.3,23.7,21.9,14.1,6.0,17.6,0.80,0.00,18.0,1.011,59730,19438,25623,17664,5114,462,16503,429,296490,235,3158,31,5.0,5.3,0.12,,,0.5,0.0,0.0,0.0,6.8,62,0.5,7,1.3,0.8,,0.1,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",101.0,132.0,116.5,
"a69682f2-9c75-428e-8595-5be24895bb5a","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_A","D17_TEAK_PIT1_BIOGEO_0-19_A","A1",1.0,"Regular","2016-08-09","2016-08-09",62,58,79.7,17.6,2.7,,,8.5,9.1,12.0,22.7,19.5,13.7,11.8,51.7,2.00,0.00,52.0,1.015,50935,16485,20806,15832,4783,522,13729,531,238027,200,2604,33,4.8,5.7,0.38,,,3.0,0.1,0.0,0.0,16.4,3,3.1,19,3.2,0.1,,7.1,,0.0,0.3,0.3,0.0,0.11,0.0,52.10,0.2,0.1,0.0,0.0,0.0,0.0,0.0,5.4,,0.0,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",0.0,19.0,9.5,
"8b2c1884-4b5f-4cd6-923e-420547b70845","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_C1","D17_TEAK_PIT1_BIOGEO_19-43_C1(19-43INCREMENT)","A2",0.5,"Regular","2016-08-09","2016-08-09",77,87,79.6,17.5,2.9,,,8.2,9.3,13.1,22.9,20.7,14.5,8.4,23.8,1.20,0.00,24.0,1.013,61326,19565,26291,18554,5441,543,16384,555,283594,239,3300,30,5.1,5.5,0.27,,,0.7,0.0,0.0,0.0,8.2,53,0.7,9,1.5,0.8,,0.2,,0.0,0.1,0.3,0.0,0.09,0.0,37.80,0.1,0.0,0.0,0.0,0.0,0.2,0.0,5.2,,0.0,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",19.0,43.0,31.0,
"98681a53-5949-4320-85d7-2275592f878f","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_A","D17_TEAK_PIT1_BIOGEO_BIOGEO1","A1",1.0,"Audit","2016-08-09","2016-08-09",77,65,80.6,16.8,2.6,,,8.3,8.5,12.7,23.2,20.1,15.2,9.4,59.9,2.60,0.00,60.0,1.016,53973,18748,26827,18200,3904,683,16385,714,283276,221,3398,37,4.8,5.6,0.03,,,2.9,0.1,0.0,0.0,17.1,14,3.0,18,3.5,0.5,,0.0,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",0.0,19.0,9.5,
"119c65b9-d9c5-4c20-8fcf-a1eeab3e0fcc","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_A","D17_TEAK_PIT1_BIOGEO_BIOGEO3","A1",1.0,"Audit","2016-08-09","2016-08-09",78,53,78.5,18.9,2.6,,,9.8,9.1,12.7,22.9,19.6,14.4,8.9,67.3,2.50,0.00,67.0,1.014,51710,19477,26607,18282,4040,683,16171,722,279483,219,3272,35,4.8,5.6,0.04,,,3.3,0.1,0.0,0.0,18.8,31,3.4,18,4.9,1.5,,1.1,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",0.0,19.0,9.5,
"99dddc03-a9a2-417b-9bea-dea76f2d672e","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_A","D17_TEAK_PIT1_BIOGEO_BIOGEO2","A1",1.0,"Audit","2016-08-09","2016-08-09",57,65,78.5,19.0,2.5,,,9.2,9.8,13.0,23.1,20.5,14.7,7.2,56.6,2.40,0.00,57.0,1.014,52878,18100,26391,18767,4136,651,16245,633,291751,222,3388,33,4.8,5.7,0.03,,,3.0,0.3,0.1,0.0,17.8,31,3.4,19,4.9,1.5,,1.1,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",0.0,19.0,9.5,
"5ef07933-8d7f-4ab2-9e1c-199bb05b69fb","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_3CR",,"R",,,"2016-08-09","2016-08-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
