uid,domainID,siteID,pitNamedLocation,pitID,horizonID,bulkDensID,horizonName,setDate,collectDate,laboratoryName,labProjID,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensHorizonProportion,bulkDensSampleType,bulkDensExclCoarseFrag,remarks
"034033d7-1d6f-496a-8d0d-cbc2850debd8","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_3C7","D17_TEAK_PIT1_BULKD_185-190_3C7","3C4","2016-08-09","2016-08-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",187.5,185.0,190.0,1.0,"Regular",1.5722,
"714ce999-2073-4fee-b7e0-e97cf296e02e","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_3C5","D17_TEAK_PIT1_BULKD_165-170_3C5","3C2","2016-08-09","2016-08-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",167.5,165.0,170.0,1.0,"Regular",1.3981,
"590426f8-37e1-4e5c-853e-798fa256c7c9","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_C1","D17_TEAK_PIT1_BULKD_20-25_C1(19-43INCREMENT)","A2","2016-08-09","2016-08-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",22.5,20.0,25.0,0.5,"Regular",1.0799,
"fe06ca77-3b88-4859-a197-7ddbea8ee8ef","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_3C6","D17_TEAK_PIT1_BULKD_175-180_3C6","3C3","2016-08-09","2016-08-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",177.5,175.0,180.0,1.0,"Regular",1.2300,
"a5c7cf02-c424-4b87-8fff-06dea850f0a8","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_A","D17_TEAK_PIT1_BULKD_BULKD3","A1","2016-08-09","2016-08-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",12.5,10.0,15.0,1.0,"Audit",1.0544,
"171f3430-9a82-44dc-b0cc-bb2c931d927f","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_3CR",,"R","2016-08-09","2016-08-09",,,,,,,,,
"cc1a1202-786b-487b-95bf-49c507294087","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_A","D17_TEAK_PIT1_BULKD_BULKD4","A1","2016-08-09","2016-08-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",12.5,10.0,15.0,1.0,"Audit",1.0000,
"4dd27318-aa49-468c-824e-8414f224eb11","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_A","D17_TEAK_PIT1_BULKD_10-15_A","A1","2016-08-09","2016-08-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",12.5,10.0,15.0,1.0,"Regular",1.0270,
"858c7477-b02c-4e32-874e-03148e1ddccd","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_2C3","D17_TEAK_PIT1_BULKD_115-120_2C3","2AC","2016-08-09","2016-08-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",117.5,115.0,120.0,1.0,"Regular",1.0355,
"2b87bb2a-bd78-458b-bf2f-db95c676e665","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_C2","D17_TEAK_PIT1_BULKD_80-85_C2","A3","2016-08-09","2016-08-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",82.5,80.0,85.0,1.0,"Regular",1.2312,
"36ec6748-683f-4ffb-a735-753668ed5398","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_A","D17_TEAK_PIT1_BULKD_BULKD2","A1","2016-08-09","2016-08-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",12.5,10.0,15.0,1.0,"Audit",1.0504,
"0067d419-dec5-4e81-b113-2f279cee5dfc","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_2C4","D17_TEAK_PIT1_BULKD_140-145_2C4","2C1","2016-08-09","2016-08-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",142.5,140.0,145.0,1.0,"Regular",1.1426,
"ea29f217-7c63-4ad1-b3e6-fc8f71cb3deb","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_C1","D17_TEAK_PIT1_BULKD_45-50_C1(43-67INCREMENT)","A2","2016-08-09","2016-08-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",47.5,45.0,50.0,0.5,"Regular",1.1081,
"844b9265-558d-4167-830e-aa7f54668596","D17","TEAK","MEGAPT112298","D17_TEAK_PIT1","17_TEAK_PIT1_A","D17_TEAK_PIT1_BULKD_BULKD1","A1","2016-08-09","2016-08-09","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","C2016USCA138",12.5,10.0,15.0,1.0,"Audit",0.5055,
