"siteID","horizonTopDepth","horizonBottomDepth","sandTotal","siltTotal","clayTotal"
"ABBY",0,3,27.2,36.4,36.4
"ABBY",3,19,26.8,35.8,37.4
"ABBY",19,44,24.8,40.3,34.9
"ABBY",44,74,20.1,37.1,42.8
"ABBY",74,103,15.1,40.9,44
"ABBY",103,131,21.1,43.1,35.8
"ABBY",131,200,30.5,40.1,29.4
"BARR",0,7,NA,NA,NA
"BARR",7,32,NA,NA,NA
"BARR",32,45,38.3,30.4,31.3
"BARR",45,58,NA,NA,NA
"BARR",58,110,53.4,27.1,19.5
"BARR",110,180,61.2,21.1,17.7
"BART",0,3,34.3,53.9,11.8
"BART",3,5,46.8,47,6.2
"BART",5,9,59.3,37,3.7
"BART",9,15,61.8,34.6,3.6
"BART",15,22,63.3,32.9,3.8
"BART",22,40,64.9,32.3,2.8
"BART",40,73,71.5,26.9,1.6
"BART",73,140,74.6,25.1,0.3
"BART",140,200,73.9,26.1,0
"BLAN",0,2,21.2,78.8,0
"BLAN",2,14,26.4,54.2,19.4
"BLAN",14,23,25.8,53.7,20.5
"BLAN",23,51,17.9,45.5,36.6
"BLAN",51,84,19.4,38.1,42.5
"BLAN",84,128,32.2,33.7,34.1
"BLAN",128,206,31.6,36.2,32.2
"BONA",0,10,NA,NA,NA
"BONA",10,22,NA,NA,NA
"BONA",22,38,25.7,63,11.3
"BONA",38,56,18,69.1,12.9
"BONA",56,88,29.5,62,8.5
"BONA",88,131,27.6,63.8,8.6
"BONA",131,193,29.8,62.1,8.1
"CLBJ",0,21,55.5,34.4,10.1
"CLBJ",21,34,58.9,33.2,7.9
"CLBJ",34,71,44.3,28.1,27.6
"CLBJ",71,89,50,29.7,20.3
"CLBJ",89,122,48.8,36.1,15.1
"CLBJ",122,147,45.9,42.1,12
"CPER",0,10,71.5,16.6,11.9
"CPER",10,30,73.8,14.3,11.9
"CPER",30,54,66.5,13.7,19.8
"CPER",54,81,48.6,27.8,23.6
"CPER",81,137,60.2,17.2,22.6
"CPER",137,181,59.3,19.8,20.9
"CPER",181,210,52.9,21.3,25.8
"DCFS",0,8,29.3,38.4,32.3
"DCFS",8,18,33.6,29.8,36.6
"DCFS",18,26,33.4,34.6,32
"DCFS",26,35,35.7,35.1,29.2
"DCFS",35,55,31.2,37.2,31.6
"DCFS",55,92,32.2,39.3,28.5
"DCFS",92,110,27.1,44.1,28.8
"DCFS",110,148,32.5,41.6,25.9
"DCFS",148,165,37,40.1,22.9
"DCFS",165,200,33.7,44.1,22.2
"DEJU",0,5,34.2,60.1,5.7
"DEJU",5,16,33.8,58.2,8
"DEJU",16,30,31.8,59.3,8.9
"DEJU",30,72,77.7,19,3.3
"DEJU",72,125,90.5,7.8,1.7
"DEJU",125,210,67.6,25.4,7
"DEJU",210,300,69.1,25.2,5.7
"DELA",0,2,2.1,62.3,35.6
"DELA",2,15,3.4,57.1,39.5
"DELA",15,27,11.8,45.5,42.7
"DELA",27,58,23.2,43.8,33
"DELA",58,79,28,45.2,26.8
"DELA",79,150,26.7,45.2,28.1
"DELA",150,200,29.8,45.9,24.3
"DSNY",0,9,94,5.3,0.7
"DSNY",9,26,97.2,2.8,0
"DSNY",26,43,96.7,3.3,0
"DSNY",43,55,94.5,4,1.5
"DSNY",55,69,95.5,3.2,1.3
"DSNY",69,99,97.3,2.7,0
"DSNY",99,134,97.1,2.2,0.7
"DSNY",134,152,97.2,2.8,0
"DSNY",152,204,96.5,3.3,0.2
"GRSM",0,21,55.9,28.5,15.6
"GRSM",21,32,53.1,29.9,17
"GRSM",32,58,55.3,28.4,16.3
"GRSM",58,100,72.9,18.6,8.5
"GRSM",100,140,37.2,34.8,28
"GRSM",140,206,47,30.9,22.1
"GUAN",0,30,7.7,57.4,34.9
"GUAN",30,55,6.2,46.4,47.4
"GUAN",55,86,4.2,45,50.8
"GUAN",86,105,5.3,36.7,58
"GUAN",105,126,6.3,33.9,59.8
"GUAN",126,161,8,36.8,55.2
"GUAN",161,203,12.6,53.4,34
"HARV",0,4,53.3,31,15.7
"HARV",4,9,58.8,29.5,11.7
"HARV",9,17,60.1,28.7,11.2
"HARV",17,32,63.9,26.2,9.9
"HARV",32,53,69.6,23.5,6.9
"HARV",53,82,87.2,9.7,3.1
"HARV",82,96,94.2,4.2,1.6
"HARV",96,113,80.4,16.2,3.4
"HARV",113,133,75.2,20.6,4.2
"HARV",133,160,95.4,2.5,2.1
"HEAL",0,9,NA,NA,NA
"HEAL",9,22,NA,NA,NA
"HEAL",22,31,NA,NA,NA
"HEAL",31,50,35.1,51.5,13.4
"HEAL",50,84,38.6,46.7,14.7
"JERC",0,8,86.2,12,1.8
"JERC",8,68,84.5,12.2,3.3
"JERC",68,105,81.1,11.2,7.7
"JERC",105,185,76.4,8.6,15
"JERC",185,203,80.1,8.6,11.3
"JORN",0,18,86.7,6.2,7.1
"JORN",18,46,83.7,7.9,8.4
"JORN",46,78,78.8,8.6,12.6
"JORN",78,110,72.7,12.6,14.7
"JORN",110,173,68.2,15,16.8
"JORN",173,200,85.1,10.4,4.5
"KONA",0,12,5.5,58.6,35.9
"KONA",12,31,3.8,53.3,42.9
"KONA",31,54,3.4,51.7,44.9
"KONA",54,89,2.6,53.5,43.9
"KONA",89,119,1.6,53.8,44.6
"KONA",119,156,3.5,56.6,39.9
"KONA",156,206,4.8,61.9,33.3
"KONZ",0,10,5.3,61.9,32.8
"KONZ",10,26,5.1,54.8,40.1
"KONZ",26,66,2.8,53,44.2
"KONZ",66,89,5.9,61.1,33
"KONZ",89,132,7.2,63.9,28.9
"KONZ",132,164,11.6,54.3,34.1
"KONZ",164,200,11.4,46.9,41.7
"LAJA",0,27,18.7,26,55.3
"LAJA",27,55,15.7,24,60.3
"LAJA",55,83,16.8,24.2,59
"LAJA",83,107,40.2,22.9,36.9
"LAJA",107,145,47.8,22.7,29.5
"LAJA",145,164,61.2,18.1,20.7
"LAJA",164,176,63.2,15.2,21.6
